"id","company_name","ccy"
1,"Jelurida","Ignis"
2,"Jelurida","Nxt"
3,"Jelurida","Ardor"
4,"Ledger","Zcash"
5,"Ledger","XRP"
6,"Ledger","Viacoin"
7,"Ledger","Vertcoin"
8,"Ledger","Tezos"
9,"Ledger","Stratis"
10,"Ledger","Stealth"
11,"Ledger","Stakenet"
12,"Ledger","Qtum"
13,"Ledger","PIVX"
14,"Ledger","Peercoin"
15,"Ledger","Litecoin"
16,"Ledger","Komodo"
17,"Ledger","Horizen"
18,"Ledger","Ethereum Classic"
19,"Ledger","Ethereum"
20,"Ledger","Dogecoin"
21,"Ledger","DigiByte"
22,"Ledger","Decred"
23,"Ledger","Dash"
24,"Ledger","Bitcoin Gold"
25,"Ledger","Bitcoin Cash"
26,"Ledger","Bitcoin"
27,"BTCMEX","Bitcoin"
28,"Swapzone","Steem"
29,"Swapzone","IOStoken"
30,"Swapzone","Waves"
31,"Swapzone","0x"
32,"Swapzone","Qtum"
33,"Swapzone","Basic Attention Token"
34,"Swapzone","NEM"
35,"Swapzone","VeChain"
36,"Swapzone","Zcash"
37,"Swapzone","Ontology"
38,"Swapzone","Maker"
39,"Swapzone","IOTA"
40,"Swapzone","Dash"
41,"Swapzone","Ethereum Classic"
42,"Swapzone","Neo"
43,"Swapzone","LINK"
44,"Swapzone","Tezos"
45,"Swapzone","Stellar"
46,"Swapzone","Cardano"
47,"Swapzone","TRON"
48,"Swapzone","Monero"
49,"Swapzone","BNB"
50,"Swapzone","Bitcoin SV"
51,"Swapzone","EOS"
52,"Swapzone","Litecoin"
53,"Swapzone","Tether"
54,"Swapzone","XRP"
55,"Swapzone","Ethereum"
56,"Swapzone","Bitcoin"
57,"PrimeXBT","EOS"
58,"PrimeXBT","XRP"
59,"PrimeXBT","Litecoin"
60,"PrimeXBT","Ethereum"
61,"PrimeXBT","Bitcoin"
62,"Tradeium","TRON"
63,"Tradeium","Neo"
64,"Tradeium","Tether"
65,"Tradeium","BNB"
66,"Tradeium","XRP"
67,"Tradeium","Ethereum"
68,"Tradeium","Bitcoin"
69,"stakefish","Storj"
70,"stakefish","Cardano"
71,"stakefish","Ethereum"
72,"stakefish","Algorand"
73,"stakefish","Chainlink"
74,"stakefish","BOScoin"
75,"stakefish","EOS"
76,"stakefish","Kava"
77,"stakefish","Aion"
78,"stakefish","Loom Network"
79,"stakefish","IRISnet"
80,"stakefish","Tezos"
81,"stakefish","Cosmos"
82,"BigONE","XRP"
83,"BigONE","Stellar"
84,"BigONE","TRON"
85,"BigONE","Qtum"
86,"BigONE","Neo"
87,"BigONE","Monero"
88,"BigONE","Litecoin"
89,"BigONE","Holo"
90,"BigONE","Ethereum"
91,"BigONE","EOS"
92,"BigONE","Dogecoin"
93,"BigONE","Cosmos"
94,"BigONE","Dash"
95,"BigONE","Beam"
96,"BigONE","Bitcoin SV"
97,"BigONE","Bitcoin Cash"
98,"BigONE","Bitcoin"
99,"BigONE","BigONE Token"
100,"LocalBitcoins","Bitcoin"
101,"Prysmatic Labs","Ethereum"
102,"Amplify Exchange","EOS"
103,"Amplify Exchange","0x"
104,"Amplify Exchange","Basic Attention Token"
105,"Amplify Exchange","Ethereum Classic"
106,"Amplify Exchange","Neo"
107,"Amplify Exchange","Cardano"
108,"Amplify Exchange","Dash"
109,"Amplify Exchange","Stellar"
110,"Amplify Exchange","Bitcoin Cash"
111,"Amplify Exchange","XRP"
112,"Amplify Exchange","Litecoin"
113,"Amplify Exchange","Ethereum"
114,"Amplify Exchange","Bitcoin"
115,"WazirX","Litecoin"
116,"WazirX","XRP"
117,"WazirX","Ethereum"
118,"WazirX","Tether"
119,"WazirX","Bitcoin"
120,"DappRadar","VeChain"
121,"DappRadar","Ontology"
122,"DappRadar","TRON"
123,"DappRadar","EOS"
124,"DappRadar","Ethereum"
125,"Elliptic","XRP"
126,"Elliptic","Litecoin"
127,"Elliptic","Ethereum"
128,"Elliptic","Bitcoin Cash"
129,"Elliptic","Bitcoin"
130,"MVP Workshop","Ethereum"
131,"MVP Workshop","Bitcoin"
132,"Coinmine","Monero"
133,"Coinmine","Grin"
134,"Coinmine","Ethereum"
135,"Coinmine","Bitcoin"
136,"Tezos Foundation","Tezos"
137,"Electric Coin Company","Zcash"
138,"Canaan","Bitcoin"
139,"DeversiFi","Tether"
140,"DeversiFi","Wrapped Bitcoin"
141,"DeversiFi","SpankChain"
142,"DeversiFi","Enjin Coin"
143,"DeversiFi","Augur"
144,"DeversiFi","Santiment Network Token"
145,"DeversiFi","Monolith"
146,"DeversiFi","Basic Attention Token"
147,"DeversiFi","Maker"
148,"DeversiFi","FunFair"
149,"DeversiFi","Status"
150,"DeversiFi","0x"
151,"DeversiFi","Single Collateral DAI"
152,"DeversiFi","Nectar"
153,"DeversiFi","Ethereum"
154,"Cointraffic","Litecoin"
155,"Cointraffic","Ethereum"
156,"Cointraffic","Bitcoin"
157,"STASIS","STASIS EURO"
158,"Dolomite","Loopring"
159,"Dolomite","Ethereum"
160,"Nash","USD Coin"
161,"Nash","Travala.com"
162,"Nash","Red Pulse"
163,"Nash","Neo"
164,"Nash","Gas"
165,"Nash","Ethereum"
166,"Nash","Basic Attention Token"
167,"Nash","0x"
168,"Nash","Nash Exchange"
169,"SmartContract","Chainlink"
170,"CME Group","Bitcoin"
171,"Deribit","Ethereum"
172,"Deribit","Bitcoin"
173,"Dash Foundation","Dash"
174,"Litecoin Foundation","Litecoin"
175,"Cardano Foundation","Cardano"
176,"Bitspark","Zephyr"
177,"Bitspark","Ethereum"
178,"Bitspark","BitShares"
179,"Bitspark","Bitcoin"
180,"Bitspark","bitCNY"
181,"Casa","Bitcoin"
182,"RTrade Technologies","Bitcoin Cash"
183,"RTrade Technologies","Dash"
184,"RTrade Technologies","Ethereum"
185,"Gitcoin","Ethereum"
186,"Rain","0x"
187,"Rain","Maker"
188,"Rain","Single Collateral DAI"
189,"Rain","Basic Attention Token"
190,"Rain","Ethereum Classic"
191,"Rain","Bitcoin Cash"
192,"Rain","TRON"
193,"Rain","EOS"
194,"Rain","Cardano"
195,"Rain","Stellar"
196,"Rain","XRP"
197,"Rain","Litecoin"
198,"Rain","Ethereum"
199,"Rain","Bitcoin"
200,"Miner Bros Limited","Litecoin"
201,"Miner Bros Limited","Ethereum"
202,"Miner Bros Limited","Bitcoin"
203,"MXC","Decentraland"
204,"MXC","Ankr"
205,"MXC","Ruff"
206,"MXC","COVA"
207,"MXC","Ontology"
208,"MXC","Dogecoin"
209,"MXC","VeChain"
210,"MXC","BitTorrent"
211,"MXC","Novacoin"
212,"MXC","Nexo"
213,"MXC","IOStoken"
214,"MXC","BNB"
215,"MXC","Neo"
216,"MXC","Litecoin"
217,"MXC","TRON"
218,"MXC","Tether"
219,"MXC","EOS"
220,"MXC","Ethereum"
221,"MXC","Bitcoin"
222,"MXC","MX Token"
223,"MeterQubes","Ethereum"
224,"Enterprise Ethereum Alliance","Ethereum"
225,"Bitcoin Gear","Litecoin"
226,"Bitcoin Gear","Ethereum"
227,"Bitcoin Gear","Bitcoin"
228,"Bitcoin Foundation","Bitcoin"
229,"nChain","Bitcoin SV"
230,"Morgan Creek Digital Assets","Ethereum Classic"
231,"Morgan Creek Digital Assets","IOTA"
232,"Morgan Creek Digital Assets","Zcash"
233,"Morgan Creek Digital Assets","Monero"
234,"Morgan Creek Digital Assets","Dash"
235,"Morgan Creek Digital Assets","EOS"
236,"Morgan Creek Digital Assets","Litecoin"
237,"Morgan Creek Digital Assets","Bitcoin Cash"
238,"Morgan Creek Digital Assets","Ethereum"
239,"Morgan Creek Digital Assets","Bitcoin"
240,"Block.one","EOS"
241,"Blockstation","Ethereum"
242,"Blockstation","Bitcoin"
243,"CODEX","Enjin Coin"
244,"CODEX","Status"
245,"CODEX","Tezos"
246,"CODEX","BitTorrent"
247,"CODEX","SALT"
248,"CODEX","Augur"
249,"CODEX","eosDAC"
250,"CODEX","Nucleus Vision"
251,"CODEX","0xBitcoin"
252,"CODEX","Chainlink"
253,"CODEX","SelfKey"
254,"CODEX","Litecoin"
255,"CODEX","TRON"
256,"CODEX","Bitcoin Cash"
257,"CODEX","Ethereum"
258,"CODEX","EOS"
259,"CODEX","Tether"
260,"CODEX","Bitcoin"
261,"HitBTC","Tezos"
262,"HitBTC","Ethereum Classic"
263,"HitBTC","EOS"
264,"HitBTC","Waves"
265,"HitBTC","DigitalNote"
266,"HitBTC","Neo"
267,"HitBTC","Dogecoin"
268,"HitBTC","NEM"
269,"HitBTC","TRON"
270,"HitBTC","Bitcoin Gold"
271,"HitBTC","Bitcoin SV"
272,"HitBTC","Bitcoin Cash"
273,"HitBTC","Monero"
274,"HitBTC","Stellar"
275,"HitBTC","Dash"
276,"HitBTC","Zcash"
277,"HitBTC","Ethereum"
278,"HitBTC","XRP"
279,"HitBTC","Litecoin"
280,"HitBTC","Bitcoin"
281,"Bitfury","Bitcoin"
282,"Minds + Machines Group Limited","Ethereum"
283,"ShapeShift","Dogecoin"
284,"ShapeShift","Monero"
285,"ShapeShift","Zcash"
286,"ShapeShift","Ethereum Classic"
287,"ShapeShift","BNB"
288,"ShapeShift","Dash"
289,"ShapeShift","Litecoin"
290,"ShapeShift","Bitcoin Cash"
291,"ShapeShift","XRP"
292,"ShapeShift","Ethereum"
293,"ShapeShift","Bitcoin"
294,"Fidelity Investments","Ethereum"
295,"Fidelity Investments","Bitcoin"
296,"Genesis Mining","Litecoin"
297,"Genesis Mining","Monero"
298,"Genesis Mining","Dash"
299,"Genesis Mining","Zcash"
300,"Genesis Mining","Ethereum"
301,"Genesis Mining","Bitcoin"
302,"Poloniex","MaidSafeCoin"
303,"Poloniex","Lisk"
304,"Poloniex","NEM"
305,"Poloniex","DigiByte"
306,"Poloniex","Zcash"
307,"Poloniex","Litecoin"
308,"Poloniex","Ethereum Classic"
309,"Poloniex","Augur"
310,"Poloniex","Bytecoin"
311,"Poloniex","Basic Attention Token"
312,"Poloniex","Dash"
313,"Poloniex","0x"
314,"Poloniex","Siacoin"
315,"Poloniex","Bitcoin Cash"
316,"Poloniex","Stellar"
317,"Poloniex","Decred"
318,"Poloniex","Dogecoin"
319,"Poloniex","XRP"
320,"Poloniex","Tether"
321,"Poloniex","Monero"
322,"Poloniex","Ethereum"
323,"Poloniex","USD Coin"
324,"Poloniex","Bitcoin"
325,"Openledger","OracleChain"
326,"Openledger","Smoke"
327,"Openledger","Scorum Coins"
328,"Openledger","MaidSafeCoin"
329,"Openledger","Zephyr"
330,"Openledger","Dogecoin"
331,"Openledger","Dash"
332,"Openledger","Neo"
333,"Openledger","Litecoin"
334,"Openledger","Steem"
335,"Openledger","EOS"
336,"Openledger","Ethereum"
337,"Openledger","Bitcoin"
338,"Kraken","Zcash"
339,"Kraken","Tezos"
340,"Kraken","Tether"
341,"Kraken","Stellar"
342,"Kraken","XRP"
343,"Kraken","Quantum"
344,"Kraken","Monero"
345,"Kraken","Enzyme"
346,"Kraken","Litecoin"
347,"Kraken","Iconomi"
