"id","company_name","feature"
1,"Jelurida","Custom Blockchain Implementation – Jelurida provides full software design and implementation services to ensure the best results in adopting our technology. We are well equipped to design and develop any customized features needed for the successful integration of blockchain technology in your business."
2,"Jelurida","Lightweight Contract Development – Development of blockchain based contracts is one of the most demanding challenges for programmers. Our professionals will guide your team and assist in all stages of implementation – from the initial design to code review, testing, deployment, and performance optimizations."
3,"Jelurida","Architecture Design and Optimization – Jelurida’s experienced blockchain engineers are ready to assist your organization in designing the best blockchain solution for your use case. Our professional services team will help identify implementation challenges and guide your team in resolving them, saving you time and resources."
4,"PrimeXBT","Industry-leading security – Keep your funds safe with our multi-level security system. Majority of digital assets are held in cold storage"
5,"PrimeXBT","100x leverage trading – Benefit from fast order execution, tight spreads, and advanced platform features to increase your profitability"
6,"PrimeXBT","Bitcoin deposits and withdrawals – Fund your account with Bitcoin or any other cryptocurrency, and start trading in seconds"
7,"PrimeXBT","Anonymous account – Create your personal account in just a few easy steps. No personal information is required"
8,"stakefish","We don’t only support and validate these projects, but put skin in the game by bonding our tokens to it, and fully dedicating our resources on building on them."
9,"stakefish","And for Cosmos we have developed similar tools like a leaderboard, a delegator dashboard, and a rewards calculator."
10,"stakefish","On Tezos we have developed a leaderboard, a delegator dashboard, a capacity planner, a rewards calculator, and a baking cycles bot."
11,"stakefish","As validators we believe in the networks that we support, for which we don’t only validate but add value by developing tools for people to enjoy."
12,"LocalBitcoins","Read more about the security features in the LocalBitcoins.com site security guide."
13,"LocalBitcoins","LocalBitcoins.com payment method supports wide range of world payment methods."
14,"LocalBitcoins","Trade process duration from the creation of the user account to having bitcoins in your wallet is a few minutes."
15,"Elliptic","Investigations Services"
16,"Elliptic","Anti-money Laundering (AML) Software"
17,"Elliptic","Cryptocurrency Forensics"
18,"Elliptic","Preventing, Detecting, and Pursuing Criminal Activity in Cryptocurrencies"
19,"MVP Workshop","TRAINING AND CONSULTING – Knowledge Transfer. In certain cases, the thing you might need or want more than our development services is our knowledge. That is why we also offer specialized training courses, either remote or on-premise, such as Business Decentralization Framework or Tokenization and Token Design. But honestly, we can do (almost) anything when it comes to blockchain."
20,"MVP Workshop","GROW – Ongoing product improvement and development. As your MVP is hitting the market and gaining traction, your development team will be focusing on full feature set development, as well as expanding the tracks and resources needed for long-term product scalability."
21,"MVP Workshop","BUILD –  Product Development. After forming a team which is dedicated solely to your project, we will cover the development of all the necessary elements of a successful, market-ready product, while focusing on technical optimization, end-user adoption-friendly design principles and ensuring alignment with your long-term business plan and goals."
22,"MVP Workshop","DEFINE – Product Discovery and Definition. Starting with holistic idea validation and problem scoping, we will go through each of the phases in order to properly define your product and ensure an optimal base for future full-scale development, while taking great care to facilitate your overall business goals."
23,"Coinmine","Unlock existing lightning apps. We know you will love the Lightning experience within the Coinmine app. But you will be able to use other existing Lightning apps like the following"
24,"Coinmine","Your lightning network sidekick. The world of Bitcoin and Lightning is young. It will grow beyond our imagination- and Coinmine is built to be ready for whatever Lightning throws at us."
25,"Coinmine","Earn 6.5% APR on the crypto in your wallet. By keeping the crypto your Coinmine is making in your Coinmine wallet, you’ll earn interest on your crypto. Rates start at 6.5% APR."
26,"Cointraffic","Press Release – Cryptocurrency & Bitcoin Press Release Distribution"
27,"Cointraffic","Native Ads – Cryptocurrency & Bitcoin Native Ads"
28,"Cointraffic","Banner Ads – Bitcoin & Cryptocurrency Banner Ad format"
29,"Cointraffic","For Publishers: Monetize your Crypto or Bitcoin-related website"
30,"Cointraffic","For Advertisers: Drive Crypto traffic to your business"
31,"Weiss Crypto Ratings","Safety ratings for consumers on virtually all U.S. banks, credit unions and insurance companies, updated quarterly."
32,"Weiss Crypto Ratings","Buy-sell-hold ratings for investors on all U.S. listed stocks, mutual funds and ETFs, updated daily."
33,"Weiss Crypto Ratings","Technology, adoption and risk/reward ratings on over 100 distributed ledgers (cryptocurrencies), updated weekly. Weiss is the only rating agency that covers this asset class."
34,"SmartContract","Connect With Other Chains – Create secure cross-chain connectivity between your main smart contract and any other public or private chain"
35,"SmartContract","Send Widely Used Payments – Send Payments from your smart contract to existing bank accounts and over widely used payment networks"
36,"SmartContract","Connect to Any Existing API – Easily connect smart contracts on various networks to your existing application and critical external data"
37,"Cardano Foundation","Facilitating Partnerships."
38,"Cardano Foundation","Ensuring stakeholder accountability."
39,"Cardano Foundation","Growing the Global Cardano Community."
40,"Cardano Foundation","Shape Legislation and Commercial Standards."
41,"Cardano Foundation","Driving adoption of Cardano."
