"id","company_name","sector"
1,"Jelurida","Software"
2,"Jelurida","Europe"
3,"Ledger","Manufacturing"
4,"Ledger","North America"
5,"Ledger","Europe"
6,"BTCMEX","Exchange"
7,"BTCMEX","Asia"
8,"Swapzone","Exchange"
9,"PrimeXBT","Exchange"
10,"PrimeXBT","Africa"
11,"Tradeium","Software"
12,"Tradeium","Asset Management"
13,"Tradeium","North America"
14,"stakefish","Software"
15,"stakefish","Asia"
16,"BigONE","Exchange"
17,"BigONE","Asia"
18,"LocalBitcoins","Exchange"
19,"LocalBitcoins","Europe"
20,"Prysmatic Labs","Software"
21,"Prysmatic Labs","North America"
22,"Amplify Exchange","Exchange"
23,"Amplify Exchange","Europe"
24,"WazirX","Exchange"
25,"WazirX","Asia"
26,"DappRadar","Research"
27,"DappRadar","Europe"
28,"Elliptic","Research"
29,"Elliptic","Europe"
30,"Coin Metrics","Research"
31,"Coin Metrics","North America"
32,"Glassnode","Software"
33,"Glassnode","Research"
34,"Glassnode","Europe"
35,"MVP Workshop","Research"
36,"MVP Workshop","Development"
37,"MVP Workshop","Advisory"
38,"MVP Workshop","Europe"
39,"Genesis Group","Venture Capital"
40,"Genesis Group","Advisory"
41,"Genesis Group","Europe"
42,"Coinmine","Manufacturing"
43,"Coinmine","North America"
44,"Tezos Foundation","Software"
45,"Tezos Foundation","Nonprofit"
46,"Tezos Foundation","Europe"
47,"Electric Coin Company","Software"
48,"Electric Coin Company","North America"
49,"Canaan","Manufacturing"
50,"Canaan","Asia"
51,"Multicoin Capital","Venture Capital"
52,"Multicoin Capital","North America"
53,"Arweave","Software"
54,"Arweave","Europe"
55,"DeversiFi","Exchange"
56,"DeversiFi","Asia"
57,"BlockTower Capital","Asset Management"
58,"BlockTower Capital","North America"
59,"Civil","Software"
60,"Civil","Media"
61,"Civil","North America"
62,"Cointraffic","Marketing"
63,"Cointraffic","Europe"
64,"STASIS","Software"
65,"STASIS","Europe"
66,"Weiss Crypto Ratings","Research"
67,"Weiss Crypto Ratings","North America"
68,"Dolomite","Exchange"
69,"Dolomite","North America"
70,"Nash","Exchange"
71,"Nash","Europe"
72,"SmartContract","Software"
73,"SmartContract","North America"
74,"CME Group","Research"
75,"CME Group","Exchange"
76,"CME Group","North America"
77,"Deribit","Exchange"
78,"Deribit","Europe"
79,"Dash Foundation","Nonprofit"
80,"Dash Foundation","Education"
81,"Dash Foundation","North America"
82,"Litecoin Foundation","Nonprofit"
83,"Litecoin Foundation","Asia"
84,"Cardano Foundation","Software"
85,"Cardano Foundation","Nonprofit"
86,"Cardano Foundation","Europe"
87,"Agoric","Software"
88,"Agoric","North America"
89,"Bitspark","Exchange"
90,"Bitspark","Asia"
91,"Casa","Software"
92,"Casa","North America"
93,"RTrade Technologies","Software"
94,"RTrade Technologies","Development"
95,"RTrade Technologies","North America"
96,"Tachyon","Accelerator"
97,"Tachyon","North America"
98,"Gitcoin","Software"
99,"Gitcoin","Development"
100,"Gitcoin","North America"
101,"Core Scientific","Software"
102,"Core Scientific","Development"
103,"Core Scientific","North America"
104,"Rain","Exchange"
105,"Rain","Middle East"
106,"Miner Bros Limited","Retail"
107,"Miner Bros Limited","Asia"
108,"MXC","Exchange"
109,"MXC","Asia"
110,"MeterQubes","Exchange"
111,"MeterQubes","Europe"
112,"Crypto Finance","Asset Management"
113,"Crypto Finance","Advisory"
114,"Crypto Finance","Europe"
115,"Enterprise Ethereum Alliance","Software"
116,"Enterprise Ethereum Alliance","Development"
117,"Enterprise Ethereum Alliance","North America"
118,"UPbit","Exchange"
119,"UPbit","Asia"
120,"tZERO","Development"
121,"tZERO","Advisory"
122,"tZERO","North America"
123,"Bitcoin Gear","Retail"
124,"Bitcoin Gear","North America"
125,"Bitcoin Foundation","Nonprofit"
126,"Bitcoin Foundation","Education"
127,"Bitcoin Foundation","North America"
128,"nChain","Research"
129,"nChain","Development"
130,"nChain","Advisory"
131,"nChain","Europe"
132,"Morgan Creek Digital Assets","Asset Management"
133,"Morgan Creek Digital Assets","North America"
134,"Block.one","Software"
135,"Block.one","Development"
136,"Block.one","Europe"
137,"Blockstation","Software"
138,"Blockstation","Asset Management"
139,"Blockstation","North America"
140,"Crypto Capital","Software"
141,"Crypto Capital","Europe"
142,"ARYZE","Software"
143,"ARYZE","Europe"
144,"CODEX","Exchange"
145,"CODEX","Europe"
146,"HitBTC","Exchange"
147,"HitBTC","South America"
148,"Bitfury","Software"
149,"Bitfury","Research"
150,"Bitfury","Mining Pool"
151,"Bitfury","Manufacturing"
152,"Bitfury","Europe"
153,"Mastercard","Software"
154,"Mastercard","North America"
155,"Minds + Machines Group Limited","Software"
156,"Minds + Machines Group Limited","North America"
157,"ShapeShift","Exchange"
158,"ShapeShift","Europe"
159,"JPMorgan","Development"
160,"JPMorgan","Asset Management"
161,"JPMorgan","North America"
162,"TokenInsight","Research"
163,"TokenInsight","Asia"
164,"AZ Blockchain","Marketing"
165,"AZ Blockchain","North America"
166,"Fidelity Investments","Asset Management"
167,"Fidelity Investments","North America"
168,"Genesis Mining","Mining Pool"
169,"Genesis Mining","Europe"
170,"Real Time Crypto","Media"
171,"Poloniex","Exchange"
172,"Poloniex","North America"
173,"Digital Ark","Marketing"
174,"Digital Ark","Europe"
175,"Openledger","Development"
176,"Openledger","Europe"
177,"Kraken","Exchange"
178,"Kraken","North America"
179,"CryptoPanic","Media"
180,"CryptoPanic","Europe"
181,"Bitstamp","Exchange"
182,"Bitstamp","Europe"
183,"Hyperledger","Software"
184,"Hyperledger","Development"
185,"Hyperledger","North America"
186,"Sydney Blockchain Centre","Education"
187,"Sydney Blockchain Centre","Oceania"
