"id","company_name","similar_name"
1,"Jelurida","TaxBit"
2,"Jelurida","EZPostage"
3,"Jelurida","ZenLedger"
4,"Jelurida","Blockstream"
5,"Jelurida","Cartesi"
6,"Jelurida","Optimism"
7,"Jelurida","Blox"
8,"Jelurida","Gitcoin"
9,"Jelurida","Ripple"
10,"Jelurida","Enterprise Ethereum Alliance"
11,"Ledger","Bitfury"
12,"Ledger","Bitmain"
13,"Ledger","Coinmine"
14,"Ledger","Canaan"
15,"BTCMEX","MXC"
16,"BTCMEX","Gemini"
17,"BTCMEX","Swapzone"
18,"BTCMEX","SIBEX"
19,"BTCMEX","PrimeBit"
20,"BTCMEX","CODEX"
21,"BTCMEX","Binance.US"
22,"BTCMEX","FTX"
23,"BTCMEX","Bit.com"
24,"BTCMEX","Bitfinex"
25,"Swapzone","Rain"
26,"Swapzone","BTCMEX"
27,"Swapzone","Bitspark"
28,"Swapzone","C-Trade"
29,"Swapzone","Mt. Gox"
30,"Swapzone","Onomy Protocol"
31,"Swapzone","Exolix"
32,"Swapzone","Huobi Global"
33,"Swapzone","Bityard"
34,"Swapzone","LocalBitcoins"
35,"PrimeXBT","Circle"
36,"PrimeXBT","ZBX"
37,"PrimeXBT","XBTPro"
38,"PrimeXBT","Bithumb"
39,"PrimeXBT","BitMEX"
40,"PrimeXBT","Mt. Gox"
41,"PrimeXBT","Swapzone"
42,"PrimeXBT","SwissBorg"
43,"PrimeXBT","Anycoin Direct"
44,"PrimeXBT","BaseFEX"
45,"Tradeium","Minds + Machines Group Limited"
46,"Tradeium","Celsius Network"
47,"Tradeium","Block.one"
48,"Tradeium","CommerceBlock"
49,"Tradeium","Omise"
50,"Tradeium","Galaxy Digital"
51,"Tradeium","Agoric"
52,"Tradeium","SmartContract"
53,"Tradeium","Digital Asset Management"
54,"Tradeium","Mastercard"
55,"stakefish","Agoric"
56,"stakefish","Lightning Labs"
57,"stakefish","Sky Mavis"
58,"stakefish","Strix Leviathan"
59,"stakefish","Truffle"
60,"stakefish","Blockstation"
61,"stakefish","Lendroid"
62,"stakefish","Hyperledger"
63,"stakefish","Symbiosis Labs"
64,"stakefish","Transparent Systems"
65,"BigONE","Huobi Global"
66,"BigONE","Rain"
67,"BigONE","Mt. Gox"
68,"BigONE","PrimeXBT"
69,"BigONE","FTX US Derivatives (formerly LedgerX)"
70,"BigONE","Bitbuy"
71,"BigONE","Swapzone"
72,"BigONE","Nash"
73,"BigONE","bitFlyer"
74,"BigONE","FTX"
75,"LocalBitcoins","ZebPay"
76,"LocalBitcoins","WazirX"
77,"LocalBitcoins","BaseFEX"
78,"LocalBitcoins","Bitstamp"
79,"LocalBitcoins","CME Group"
80,"LocalBitcoins","Bybit"
81,"LocalBitcoins","SwapSpace"
82,"LocalBitcoins","ChangeNOW"
83,"LocalBitcoins","Bity"
84,"LocalBitcoins","NSBroker"
85,"Prysmatic Labs","Neo Foundation"
86,"Prysmatic Labs","ARYZE"
87,"Prysmatic Labs","Strix Leviathan"
88,"Prysmatic Labs","CommerceBlock"
89,"Prysmatic Labs","Blox"
90,"Prysmatic Labs","SolRazr"
91,"Prysmatic Labs","Optimism"
92,"Prysmatic Labs","SmartContract"
93,"Prysmatic Labs","Electric Coin Company"
94,"Prysmatic Labs","Worthpad"
95,"Amplify Exchange","CryptoAltum"
96,"Amplify Exchange","BitMEX"
97,"Amplify Exchange","Velo Trust"
98,"Amplify Exchange","ZB.com"
99,"Amplify Exchange","CryptoLocally"
