"id","company_name","support"
1,"Jelurida","Wiki/FAQ:https://desk.zoho.eu/portal/jelurida/home"
2,"Jelurida","Support Website:https://www.jelurida.com/contact-us"
3,"Ledger","Support Website:https://support.ledger.com/hc/en-us"
4,"BTCMEX","Wiki/FAQ:https://help.btcmex.com/hc/en-001"
5,"BTCMEX","official@btcmex.com:mailto:official@btcmex.com"
6,"BTCMEX","Support Website:https://help.btcmex.com/hc/en-001"
7,"Swapzone","support@swapzone.io:mailto:support@swapzone.io"
8,"PrimeXBT","support@help.primexbt.com:mailto:support@help.primexbt.com"
9,"PrimeXBT","Support Website:https://help.primexbt.com/"
10,"Tradeium","Wiki/FAQ:https://tradeium.io/#faq"
11,"Tradeium","contact@tradeium.io:mailto:contact@tradeium.io"
12,"stakefish","hi@stake.fish:mailto:hi@stake.fish"
13,"BigONE","support@big.one:mailto:support@big.one"
14,"BigONE","Support Website:https://bigone.zendesk.com/hc/en-us"
15,"LocalBitcoins","Wiki/FAQ:https://localbitcoins.com/faq"
16,"LocalBitcoins","Support Website:https://localbitcoins.com/support/request/"
17,"Prysmatic Labs","contact@prysmaticlabs.com:mailto:contact@prysmaticlabs.com"
18,"Amplify Exchange","Wiki/FAQ:https://support.amplifyexchange.com/hc/en-us/categories/360002128334-Frequently-Asked-Questions"
19,"Amplify Exchange","info@amplifyexchange.com:mailto:info@amplifyexchange.com"
20,"Amplify Exchange","Support Website:https://support.amplifyexchange.com/hc/en-us"
21,"WazirX","Support Website:https://support.wazirx.com/hc/en-us"
22,"Elliptic","Support Website:https://www.elliptic.co/contact"
23,"Coin Metrics","info@coinmetrics.io:mailto:info@coinmetrics.io"
24,"Glassnode","Tel: +41 (0)41 481 04 04:tel://+41 (0)41 481 04 04"
25,"Glassnode","contact@glassnode.com:mailto:contact@glassnode.com"
26,"Glassnode","Support Website:https://glassnode.com/contact"
27,"MVP Workshop","Wiki/FAQ:https://mvpworkshop.co/faq/"
28,"MVP Workshop","hello@mvpworkshop.co:mailto:hello@mvpworkshop.co"
29,"MVP Workshop","Support Website:https://mvpworkshop.co/contact/"
30,"Genesis Group","Support Website:https://www.genesis-group.com/contact/"
31,"Coinmine","Wiki/FAQ:https://coinmine.com/pages/faq"
32,"Coinmine","Support Website:https://coinmine.com/pages/contact-us"
33,"Tezos Foundation","Support Website:https://tezos.foundation/contact-form/general"
34,"Electric Coin Company","info@electriccoin.co:mailto:info@electriccoin.co"
35,"Electric Coin Company","Support Website:https://electriccoin.co/contact/"
36,"Canaan","sales@canaan.io:mailto:sales@canaan.io"
37,"Arweave","Wiki/FAQ:https://www.arweave.org/faqs.html"
38,"Arweave","team@arweave.org:mailto:team@arweave.org"
39,"DeversiFi","Wiki/FAQ:https://nectar.community/faq"
40,"DeversiFi","info@deversifi.com:mailto:info@deversifi.com"
41,"BlockTower Capital","Support Website:https://www.blocktower.com/contact"
42,"Civil","Wiki/FAQ:https://help.civil.co/"
43,"Civil","support@civil.co:mailto:support@civil.co"
44,"Civil","Support Website:https://civil.co/contact/"
45,"Cointraffic","Wiki/FAQ:https://faq.cointraffic.io/en"
46,"Cointraffic","support@cointraffic.io:mailto:support@cointraffic.io"
47,"STASIS","Wiki/FAQ:https://stasis.net/qa/"
48,"STASIS","corp@stasis.net:mailto:corp@stasis.net"
49,"STASIS","Support Website:https://stasis.net/contacts/"
50,"Weiss Crypto Ratings","Wiki/FAQ:https://weisscrypto.com/en/frequently-asked-questions"
51,"Weiss Crypto Ratings","Tel: 1-877-934-7778:tel://1-877-934-7778"
52,"Weiss Crypto Ratings","contactus@weissinc.com:mailto:contactus@weissinc.com"
53,"Weiss Crypto Ratings","Support Website:https://weisscrypto.com/en/contact"
54,"Dolomite","Wiki/FAQ:https://dolomite.io/support/faq.html"
55,"Nash","Wiki/FAQ:https://support.nash.io/hc/en-us"
56,"Nash","Support Website:https://nash.io/help/contact"
57,"SmartContract","Support@SmartContract.com:mailto:Support@SmartContract.com"
58,"CME Group","Tel: +1 312 930 3434:tel://+1 312 930 3434"
59,"CME Group","Corporate.Communications@cmegroup.com:mailto:Corporate.Communications@cmegroup.com"
60,"Deribit","Wiki/FAQ:https://www.deribit.com/pages/information/faq"
61,"Dash Foundation","Support Website:https://www.dashfoundation.io/contact/"
62,"Litecoin Foundation","contact@litecoinfoundation.net:mailto:contact@litecoinfoundation.net"
63,"Cardano Foundation","info@cardanofoundation.org:mailto:info@cardanofoundation.org"
64,"Bitspark","Wiki/FAQ:http://support.bitspark.io/en/"
65,"Bitspark","info@bitspark.io:mailto:info@bitspark.io"
66,"Bitspark","Support Website:https://www.bitspark.io/contact-us"
67,"Casa","help@team.casa:mailto:help@team.casa"
68,"Casa","Support Website:https://keys.casa/support"
69,"RTrade Technologies","Wiki/FAQ:https://temporal.cloud/faq/"
70,"RTrade Technologies","info@rtradetechnologies.com:mailto:info@rtradetechnologies.com"
71,"RTrade Technologies","Support Website:https://temporal.cloud/contact/"
72,"Tachyon","Wiki/FAQ:https://docs.google.com/document/d/1bTc17Oz9WdO9KcBZUsfU_b9_x5Y855z8sElo7Yiw8fY/"
73,"Tachyon","tachyon@consensys.net:mailto:tachyon@consensys.net"
74,"Tachyon","Support Website:https://labs.consensys.net/contact/"
75,"Gitcoin","Wiki/FAQ:https://gitcoin.co/help"
76,"Gitcoin","founders@gitcoin.co:mailto:founders@gitcoin.co"
77,"Gitcoin","Support Website:https://gitcoin.co/blog/contact/"
78,"Core Scientific","Tel: (425) 822-1466:tel://(425) 822-1466"
79,"Core Scientific","Support Website:https://www.corescientific.com/contact"
80,"Rain","Wiki/FAQ:https://support.rain.bh/en/collections/948736-about-rain"
81,"Rain","support@rain.bh:mailto:support@rain.bh"
82,"Rain","Support Website:https://support.rain.bh/en/"
83,"Miner Bros Limited","Wiki/FAQ:https://www.cryptominerbros.com/frequently-asked-questions"
84,"Miner Bros Limited","Tel: +86-13138175303:tel://+86-13138175303"
85,"Miner Bros Limited","info@cryptominerbros.com:mailto:info@cryptominerbros.com"
86,"Miner Bros Limited","Support Website:https://www.cryptominerbros.com/contact"
87,"MXC","Wiki/FAQ:https://mxc-exchange.zendesk.com/hc/en-001"
88,"MXC","service@mxc.com:mailto:service@mxc.com"
89,"MXC","Support Website:https://t.me/MXCEnglish"
90,"MeterQubes","admin@meterqubes.io:mailto:admin@meterqubes.io"
91,"Crypto Finance","Tel: +41 41 545 88 22:tel://+41 41 545 88 22"
92,"Crypto Finance","info@cryptofinance.ch:mailto:info@cryptofinance.ch"
93,"Crypto Finance","Support Website:https://www.cryptofinance.ch/en/contact/"
94,"Enterprise Ethereum Alliance","Wiki/FAQ:https://entethalliance.org/faqs/"
95,"Enterprise Ethereum Alliance","Support Website:https://entethalliance.org/contact/"
96,"UPbit","Wiki/FAQ:https://sg.upbit.com/service_center/faq"
97,"tZERO","Tel: 855.893.7611:tel://855.893.7611"
98,"tZERO","support@tzero.com:mailto:support@tzero.com"
99,"Bitcoin Gear","Wiki/FAQ:https://www.bitcoin-gear.com/pages/faq"
100,"Bitcoin Gear","customerservice@bitcoin-gear.com:mailto:customerservice@bitcoin-gear.com"
101,"Bitcoin Foundation","Support Website:https://bitcoinfoundation.org/contact/"
102,"nChain","media@nchain.com:mailto:media@nchain.com"
103,"nChain","Support Website:https://nchain.com/en/contact/"
104,"Morgan Creek Digital Assets","team@bitwiseinvestments:mailto:team@bitwiseinvestments"
105,"Block.one","developers@block.one:mailto:developers@block.one"
106,"Block.one","Support Website:https://block.one/contact/"
107,"Blockstation","Wiki/FAQ:http://help.blockstation.com?utm_source=cryptoslate&utm_medium=companyfeature"
108,"Blockstation","Tel: 1-833-326-2646:tel://1-833-326-2646"
109,"Blockstation","support@blockstation.com:mailto:support@blockstation.com"
110,"Blockstation","Support Website:https://blockstation.com/contact?utm_source=cryptoslate&utm_medium=companyfeature"
111,"Crypto Capital","Wiki/FAQ:https://support.cryptocapital.co/support/home"
112,"Crypto Capital","contact@cryptocapital.co:mailto:contact@cryptocapital.co"
113,"ARYZE","info@aryze.io:mailto:info@aryze.io"
114,"CODEX","Wiki/FAQ:https://support.codex.one/hc/en-us"
115,"CODEX","Tel: +442035143400:tel://+442035143400"
116,"CODEX","support@codex.one:mailto:support@codex.one"
117,"HitBTC","Wiki/FAQ:https://hitbtc.com/faq"
118,"HitBTC","support@hitbtc.com:mailto:support@hitbtc.com"
119,"HitBTC","Support Website:https://support.hitbtc.com/hc/en-us"
120,"Bitfury","info@bitfury.com:mailto:info@bitfury.com"
121,"Mastercard","Wiki/FAQ:https://developer.mastercard.com/support"
122,"Mastercard","Support Website:https://www.mastercard.us/content/dam/mccom/global/documents/global-services-phone-numbers.pdf"
123,"Minds + Machines Group Limited","Wiki/FAQ:https://www.join.luxe/faq/"
124,"Minds + Machines Group Limited","Tel: 1 206 531 3850:tel://  1 206 531 3850"
125,"Minds + Machines Group Limited","support@mmx.co:mailto:support@mmx.co"
126,"Minds + Machines Group Limited","Support Website:https://www.join.luxe/contact/"
127,"ShapeShift","Wiki/FAQ:https://info.shapeshift.io/faq/"
128,"ShapeShift","support@shapeshift.zendesk.com:mailto:support@shapeshift.zendesk.com"
129,"ShapeShift","Support Website:https://shapeshift.zendesk.com/hc/en-us/requests/new"
130,"JPMorgan","Wiki/FAQ:https://github.com/jpmorganchase/quorum/wiki"
131,"JPMorgan","quorum_info@jpmorgan.com:mailto:quorum_info@jpmorgan.com"
132,"JPMorgan","Support Website:https://www.jpmorgan.com/global/contact-us"
133,"TokenInsight","data@tokeninsight.com:mailto:data@tokeninsight.com"
134,"TokenInsight","Support Website:https://tokeninsight.com/feedback"
135,"AZ Blockchain","Tel: +1 416 821-9655:tel://+1 416 821-9655"
136,"AZ Blockchain","info@azblockchain.co:mailto:info@azblockchain.co"
