"id","company_name","team"
1,"Ledger","Antoine ThibaultGeneral Counsel"
2,"Ledger","Charles GuillemetChief Technology Officer"
3,"Ledger","Pascal GauthierChief Executive Officer"
4,"Ledger","Eric LarchevêqueExecutive Chairman"
5,"Ledger","Nicolas BaccaHead of Innovation"
6,"Ledger","Julien JuanChief Operations Officer"
7,"BTCMEX","Ernesto BanderasArt Director"
8,"BTCMEX","Kenneth DiciccoHead of International Business Development"
9,"BTCMEX","Aparajitha ChakilamMarketing Manager"
10,"BTCMEX","Kerel VerwaerdeCMO"
11,"BTCMEX","Julia BulakhContent Manager"
12,"BTCMEX","Li XiaolaiFounder"
13,"Tradeium","Javis LockhartFounder"
14,"stakefish","Andrea Di MicheleFull-Stack Developer"
15,"stakefish","Dasom SongMarketing Lead"
16,"stakefish","Cristian (Kris) LuceraHead of Infrastructure"
17,"stakefish","Jun Soo (JK) KimOperations Manager"
18,"stakefish","Wang ChunChief Executive Officer"
19,"Prysmatic Labs","Shay Zluf"
20,"Prysmatic Labs","Ivan Martinez"
21,"Prysmatic Labs","Nishant Das"
22,"Prysmatic Labs","Terence Tsao"
23,"Prysmatic Labs","Raul Jordan"
24,"Prysmatic Labs","Preston Van Loon"
25,"WazirX","Siddharth MenonHead of Product"
26,"WazirX","Sameer MhatreCTO"
27,"WazirX","Nischal ShettyCEO"
28,"Elliptic","Simone MainiChief Operating Officer"
29,"Elliptic","Dr. Adam JoyceChief Architect & Co-Founder"
30,"Elliptic","Dr. Tom RobinsonChief Scientist & Co-Founder"
31,"Elliptic","Dr. James SmithCEO & Co-Founder"
32,"Coin Metrics","Nic CarterBoard Chairman & Co-Founder"
33,"Coin Metrics","Alexander BichChief Architect & Co-Founder"
34,"Coin Metrics","Aleksei NokhrinCTO & Co-Founder"
35,"Coin Metrics","Jacob FranekCOO & Co-Founder"
36,"Coin Metrics","Tim RiceCEO & Co-Founder"
37,"Glassnode","Viktor RogatinLead Software Engineer"
38,"Glassnode","Kilian HeegBlockchain Archaeologist"
39,"Glassnode","Yann AllemannCo-Founder & Quantitative Trading"
40,"Glassnode","Taras HalturinSoftware Architect"
41,"MVP Workshop","Nikola GavrilovićChief Financial Officer"
42,"MVP Workshop","Antun DebakChief Product Officer"
43,"MVP Workshop","Mališa PušonjaChief Technical Officer"
44,"MVP Workshop","Ivan BjelajacCEO & Co-Founder"
45,"Genesis Group","Marco StrengCEO & Co-Founder"
46,"Tezos Foundation","Ryan JespersonPresident of the Tezos Foundation"
47,"Electric Coin Company","Alan FairlessMember - Board of Directors"
48,"Electric Coin Company","Andrew McLaughlinMember - Board of Directors"
49,"Electric Coin Company","Zooko WilcoxFounder and Chief Executive Officer"
50,"Multicoin Capital","Kyle SamaniCo-Founder & Managing Partner"
51,"DeversiFi","Will HarborneCo-Founder & Strategy"
52,"BlockTower Capital","Ari PaulCo-Founder & CIO"
53,"Civil","Julia HimmelProduct Designer & Co-Founder"
54,"Civil","Dan KinsleyEngineering Lead & Co-Founder"
55,"Civil","Nguyet VuongProduct Design Lead & Co-Founder"
56,"Civil","Matthew IlesCEO & Co-Founder"
57,"Cointraffic","Sergei VerbitskiFounder, CEO"
58,"STASIS","Gregory KlumovCEO & Co-Founder"
59,"Dolomite","Adam KnuckeyCOO & Co-Founder"
60,"Dolomite","Corey CaplanCEO & Co-Founder"
61,"Nash","Ethan FastCTO & Co-Founder"
62,"SmartContract","Sergey NazarovCEO & Founder"
63,"Deribit","Jonas de TaeyeMobile App Developer"
64,"Deribit","Andrew YanovskyLead Developer"
65,"Deribit","Sebastian SmyczýnskiCTO"
66,"Deribit","Marius JansenCOO"
67,"Deribit","John JansenCEO"
68,"Dash Foundation","Edward MoncadaDirector"
69,"Dash Foundation","Fernando GutierrezVicechairman"
70,"Dash Foundation","Evan DuffieldChairman"
71,"Litecoin Foundation","Zing YangDirector"
72,"Litecoin Foundation","Alan AustinDirector"
73,"Litecoin Foundation","Xinxi WangDirector"
74,"Litecoin Foundation","Charlie LeeManaging Director"
75,"Cardano Foundation","Hinrich PfeiferGeneral Secretary"
76,"Cardano Foundation","Manmeet SinghCouncil Member"
77,"Cardano Foundation","Domino BurkiCouncil Member"
78,"Cardano Foundation","Nathan KaiserChairperson"
79,"Agoric","Bill TullohEconomist"
80,"Agoric","Brian WarnerEngineering Lead"
81,"Agoric","E. Dean Tribble,CEO"
82,"Agoric","Mark MillerChief Scientist"
83,"Bitspark","Maxine RyanCo-Founder and COO"
84,"Bitspark","George HarrapCo-Founder and CEO"
85,"Casa","Jameson LoppCTO"
86,"Casa","Jeremy WelchFounder"
87,"RTrade Technologies","Alexandre TrottierCTO & Co-Founder"
88,"RTrade Technologies","Derrick FooteCEO & Co-Founder"
89,"Tachyon","Rohun JauharDirector of Investor Relations"
90,"Tachyon","Mansi PrakashBusiness Associate, Investments"
91,"Tachyon","Jason NovackProgram Director"
92,"Tachyon","Brian DellProgram Director"
93,"Tachyon","Gabriel AndersonManaging Director"
94,"Gitcoin","Scott MooreBiz Dev"
95,"Gitcoin","Aditya Anand M CEngineering"
96,"Gitcoin","Vivek SinghCommunity Buidl-er"
97,"Gitcoin","Eric BerryOSS Funding"
98,"Gitcoin","Alisa MarchUser Experience Design"
99,"Gitcoin","Kevin OwockiFounder ""All the things"""
100,"Core Scientific","Kristy-Leigh MinehanFormer Chief Technology Officer"
101,"Core Scientific","Ganesh BalakrishnanChief Product Officer, Blockchain"
102,"Core Scientific","Jim BenedettoChief Data Officer"
103,"Core Scientific","Ian FerreriaChief Product Officer AI"
104,"Core Scientific","Aber WhitcombDirector"
105,"Core Scientific","Kevin TurnerPresident & Chief Executive Officer"
106,"Miner Bros Limited","Mausam PatelCEO"
107,"MeterQubes","Arif AnsariChief Operations Officer"
108,"MeterQubes","Leyth Al HinaiChief Information Officer"
109,"MeterQubes","Neville EpaChief Trading Strategist"
110,"MeterQubes","Fahd SaifuddinChief Technology Officer"
111,"MeterQubes","Ahmed Al MarjebyCo-founder & Chief Executive Officer"
112,"Crypto Finance","Fabian Schaer PhDBoard Member at Crypto Fund AG"
113,"Crypto Finance","Tobias Reichmuth PhDChairman of the Board of Directors & Co-founder at Crypto Finance AG"
114,"Crypto Finance","Philipp Cottier PhDChairman of the Board of Directors at Crypto Fund AG"
115,"Crypto Finance","Marc P. BerneggerBoard Member at Crypto Finance AG"
