"id","name","define"
1,"Whitelist","A spam filtering mechanism where only users registered to the list will be granted communications or access."
2,"Whale","A cryptocurrency investor with enough resources to move the market price significantly with large buy or sell orders."
3,"Wallet Address","Similar to an email address, a wallet address acts as a destination for crypto to be sent to or received."
4,"Wallet","A software program that stores public and private keys, allowing the user to interact and perform transactions on blockchain."
5,"WAGMI","Abbreviation for “we’re all going to make it,” i.e."
6,"Vapourware","When a heavily advertised or promised product never materialises."
7,"UTXO","Unspent transaction output."
8,"TVL","An abbreviation for total value locked."
9,"Turing Complete","A system that can be used to solve any possible computational problem."
10,"TOR","The Onion Router."
11,"TestNet","An alternative blockchain running separate to the main chain used for developers to prototype software and updates to ensure stability before launch."
12,"Tangle","IOTA’s DAG based alternative to the blockchain data structure, aimed predominantly at the IoT sector."
13,"Solidity","A programming language based around EMCA Script and by extension JavaScript, created specifically for writing Smart contracts."
14,"Soft wallet","A software based wallet that is able to be hosted as a desktop, mobile or web application, many providing cross-platform integration with all three."
15,"Soft fork","A change to the software or protocol that allows for backwards compatible with previous versions."
16,"Smart Contracts","A digital protocol used to facilitate and enforce the negotiation of a contract without use of a third party."
17,"Skein","One of the five finalists of the NIST hash function competition, based on the Threefish tweakable block cypher."
18,"Sidechain","A separate blockchain, attached to a parent blockchain that allows assets to be interchangeable, in turn increasing the scope, throughput and availability of their parent chains."
19,"Sharding","A scalability solution for the Ethereum blockchain that validates the blockchain in a parallelised manner."
20,"SHA","Stands for Secure Hashing Algorithm: a standard of hashing algorithm developed by the National Institute of Standards and Technology, the latest iteration being labeled SHA-3."
21,"Seed phrase","Used as a point of origin for certain wallets, it uses a mnemonic phrase to generate a wallet ID which can then be used to regenerate the wallet in the case it gets erased or misplaced."
22,"Scrypt","A power efficient hashing algorithm that is more RAM intensive than SHA-256, it saw its debut in the cryptocurrency market as the algorithm of choice for the Litecoin blockchain."
23,"Satoshi Nakamoto","The pseudonymous name used by the original inventor of the Bitcoin cryptocurrency."
24,"Satoshi","The smallest quantifiable amount of Bitcoin, one-billionth of a single Bitcoin or 0.000000001 BTC."
25,"RSI","Relative Strength Index A common trading metric that provides a visual indicator of general market trends."
26,"Ring signature","A digital signature topology developed in 2001 leveraged in security focused cryptocurrencies, as a mechanism to anonymise transactions."
27,"Raiden Network","An ERC-20 compatible token designed to leverage secure payment channels in order to create an off-chain scaling solution for the Ethereum Blockchain."
28,"QR code","Quick response code."
29,"Pump and dump","The process of buying a large amount of tokens at once, usually as a co-ordinated group, in order to artificially inflate or ‘pump’ the price causing a market reaction as outsiders attempt to ride the upward trend, then selling or ‘dumping’ at the highest point."
30,"Proof of Work","A transaction validation system that requires the use of a computationally intensive process within the network that acts as a deterrent to prevent denial of Service or like-wise spam attacks."
31,"Proof of Stake","A power efficient transaction validation system in where users must ‘stake’ their coins in order to mint new blocks, minting of fraudulent transactions will cause staked coins to be lost."
32,"Proof of Capacity","Also known as proof of space."
33,"Proof of Authority","A centralised validation method that gives the right to validate to only to eligible parties that have been approved by an authority."
34,"Private Key","Operates in tandem with a Public key as part of common asymmetric cryptography standards, this key should never be shared."
35,"Price wall","An accumulation of buy or sell orders at a specific price."
36,"Pre-sale","A token event sale that operates before an ICO campaign, often with lower targets."
37,"Paper Wallet","An offline wallet that is simply the private key and address printed on paper, usually alongside a QR code, one of the safest ways of storing cryptocurrencies."
38,"P2P","Stands for Peer to Peer."
39,"Oracles","A third party data feed used by smart contracts to trigger events."
40,"Open source","Originating from the software industry, it is a program whose source code is made freely available to anybody, allowing them to study, change and distribute the software to anyone for any purpose."
41,"Off-chain","A transaction or process that occurs outside the main blockchain."
42,"Nonce","A random arbitrary number used to timestamp or otherwise ensure the order of a transaction in order to prevent against a replay attack."
43,"Node","A point of conversion in the network that acts as a redistribution or end point."
44,"NGMI","An abbreviation for not going to make it."
45,"NFT","An abbreviation for non-fungible token."
46,"MultiSig","A digital signature scheme which allows multiple user to sign a contract or wallet."
47,"Mt Gox","A Japanese cryptocurrency exchange that in 2013 accounted for over 70% of all bitcoin transactions, hacked in 2014 and filing for bankruptcy, its influence is still being felt today."
48,"Moving Average Convergence Divergence","A technical analysis tool used to forecast future prices by indicating the relationship between two moving averages to provide a metric for price momentum."
49,"Moores law","An observational rule of thumb credited to Gordon Moore in 1965 stating that the density of integrated circuits will double every approximately two years."
50,"Mooning","The process where market value of an asset skyrockets, exceeding investor’s expectations, often used as a meme."
51,"Mining","A process where algorithms use mathematical function to guess the hash of a block."
52,"MEW","My Ether Wallet."
53,"Metaverse","A virtual world where, one day, we will all interact, create, work, and live our lives."
