"id","person_name","work"
1,"Tim Draper","Draper University - Headmaster"
2,"Tim Draper","Draper Associates - Founding Partner"
3,"Tim Draper","DFJ - Founding Partner"
4,"Marc Andreessen","Andreessen Horowitz -Co-Founder & General Partner"
5,"Thomas Lee","Fundstrat Global Advisors - Managing Partner"
6,"Viktor Radchenko","Trust Wallet -Founder"
7,"Jacob Canfield","Co-Founder - Grand Apps"
8,"Jacob Canfield","Signal Profits - Managing Partner"
9,"Justin Wu","DGA Summit - Founder & Organizer"
10,"Justin Wu","BlockchainNW - Co-Founder & Organizer"
11,"Justin Wu","CoinState - Founder"
12,"Dan Morehead","BitPesa - Board Member"
13,"Dan Morehead","Bitstamp -Chairman"
14,"Dan Morehead","Pantera Capital -Co-Founder & CEO"
15,"Arthur Hayes","BitMEX -Co-Founder & CEO"
16,"Dan Larimer","Block.one -CTO"
17,"Rahul Sood","Vrvana - Investor and Advisor"
18,"Rahul Sood","Razer - Advisor to the Board of Directors"
19,"Rahul Sood","Unikrn - Co-Founder & CEO"
20,"Brock Pierce","D10e - Co-Founder"
21,"Brock Pierce","DNA - Co-Founder"
22,"Brock Pierce","Mastercoin - Co-Founder"
23,"Brock Pierce","NobleBank - Co-Founder"
24,"Brock Pierce","GoCoin - Co-Founder"
25,"Brock Pierce","Open Data Exchange - Advisor"
26,"Brock Pierce","The Element Group - Advisor"
27,"Brock Pierce","Paybook - Advisor"
28,"Brock Pierce","Bitcoin Foundation -Chairman of the Board"
29,"Brock Pierce","Metronome -Advisor"
30,"Brock Pierce","BitGo -Advisor"
31,"Brock Pierce","BLOCKv -Advisor"
32,"Brock Pierce","Airswap -Advisor"
33,"Brock Pierce","Bancor -Advisor"
34,"Brock Pierce","Blockchain Capital -Co-Founder"
35,"Brock Pierce","Tether -Co-Founder"
36,"Brock Pierce","EOS -Co-Founder & Board Member"
37,"Brock Pierce","Block.one -Co-Founder"
38,"Erik Voorhees","ShapeShift -CEO & Founder"
39,"Max Keiser","Heisenberg Capital Limited - Co-Founder"
40,"Max Keiser","Keiser Report - Host"
41,"Tone Vays","ToneVays.com - Content Creator"
42,"Jameson Lopp","Statoshi - Creator"
43,"Jameson Lopp","BitGo -Software Engineer"
44,"Jameson Lopp","Casa - CTO"
45,"Meltem Demirors","World Economic Forum - Blockchain Council"
46,"Meltem Demirors","MIT Media Lab - Advisor -Future Commerce"
47,"Meltem Demirors","Shiny Pony Ventures - Founder"
48,"Meltem Demirors","University of Oxford - Course Creator & Lecturer"
49,"Meltem Demirors","CoinShares - Chief Strategy Officer"
50,"Olaf Carlson-Wee","Polychain Capital - Founder & CEO"
51,"Jesse Proudman","Techstars - Mentor -Alexa Accelerator"
