"id","person_name","work"
1,"Marc Andreessen","NetscapeCo-Founder1994-1998"
2,"Marc Andreessen","NetscapeCTO & EVP of Products1994-1999"
3,"Marc Andreessen","OpswareCo-Founder1999-2007"
4,"Marc Andreessen","Ning InteractiveCo-Founder2004"
5,"Thomas Lee","JPMorgan Managing Director1999-2014"
6,"Viktor Radchenko","Trucker PathCo-Founder / CTO2012-2014"
7,"Jacob Canfield","Simple Truth ChiropracticCEO2012-2017"
8,"Dan Morehead","Tiger ManagementCFO & Head of Macro Trading1996-2000"
9,"Dan Morehead","AtriaxCo-Founder & CEO2000-2002"
10,"Arthur Hayes","Deutsche BankAssociate2008-2011"
11,"Arthur Hayes","CitiDelta One Trader2011-2013"
12,"Dan Larimer","Phoenix IntegrationSoftware Engineer2012-2013"
13,"Dan Larimer","Invectus InnocationsCEO2013-2015"
14,"Dan Larimer","Cryptonomex Inc.CEO2015-2016"
15,"Dan Larimer","BitShares Creator2013-2016"
16,"Dan Larimer","Steemit CTO2016-2017"
17,"Rahul Sood","Hewlett-PackardCTO -HP Global Gaming & Advanced Computing2006-2010"
18,"Rahul Sood","MicrosoftGM / Partner Microsoft Ventures2013-2014"
19,"Erik Voorhees","Better HomesCommunications Manager2008-2009"
20,"Erik Voorhees","Podium GroupProject Manager2010-2011"
21,"Erik Voorhees","BitInstantHead of Marketing2012-2013"
22,"Erik Voorhees","SatoshiDICEFounder & CEO2012-2013"
23,"Erik Voorhees","CoinapultCo-Founder2013"
24,"Tone Vays","MSCI Inc.VP Operations2010-2012"
25,"Tone Vays","Axioma -Inc.Senior Financial Analyst2012-2015"
26,"Tone Vays","CoinTelegraphResearch Analyst / Writer2014-2015"
27,"Tone Vays","Brave New CoinHead of Research2015-2016"
28,"Meltem Demirors","Dow ChemicalAnalyst2007"
29,"Meltem Demirors","Tradax EnergyAnalyst2008-2009"
30,"Meltem Demirors","Deloitte ConsultingStrategy Consultant2009-2013"
31,"Meltem Demirors","ExxonMobilCorporate Treasury2014"
32,"Meltem Demirors","Digital Currency Group Vice President2015-2018"
33,"Olaf Carlson-Wee","Coinbase Head of Risk & Product Manager2013-2016"
34,"Olaf Carlson-Wee","Cryptographic FinancialFounder & Managing Member2016-2017"
35,"Jesse Proudman","Blue Box GroupFounder & CTO2014-2015"
36,"Jesse Proudman","IBMDistinguished Engineer2015-2017"
37,"Joey Krug","Dark Paradise StudiosGame Developer2014"
38,"Joey Krug","MariPoSFounder2014"
39,"Joey Krug","Augment PartnersFounding Board Member2016-2018"
40,"Tyler Winklevoss","ConnectU.comCo-Founder2003-2008"
41,"Tyler Winklevoss","USRowingOlympian2006-2011"
42,"Cameron Winklevoss","ConnectU.comCo-Founder2002-2008"
43,"Cameron Winklevoss","USRowingOlympian2006-2011"
44,"Robert Mao","MicrosoftSenior Software Development Engineer2007-2013"
45,"Robert Mao","MicrosoftResearch Software Development Engineer2010-2013"
46,"Robert Mao","Seattle Entrepreneurship ClubCo-Founder -Chairman of Board2010-2013"
47,"Robert Mao","PixoMobileCo-Founder & CEO2013-2017"
48,"Robert Mao","W3C HTML Working GroupInvited Expert2007-2018"
49,"Charlie Shrem","DailyCheckout IncDirector of Operations -Co-Founder2009-2012"
50,"Charlie Shrem","BitInstant.com -LLCFounder & CEO2011-2014"
51,"Charlie Shrem","EVRPartner2013-2014"
52,"Charlie Shrem","Jaxx Blockchain InterfaceCOO2017"
53,"Charlie Shrem","DecentralCOO2017"
54,"David Chaum","International Association for Cryptologic ResearchFounder1982"
55,"David Chaum","DigiCashFounder1990"
56,"Nick Szabo","Bit GoldCreator1998"
57,"Jeremy Allaire","Allaire CorporationCo-Founder & CTO - "
58,"Jeremy Allaire","MarcomediaChief Technology Officer2001-2003"
59,"Jeremy Allaire","General Catalyst PartnersEntrepreneur in Residence2003-2004"
60,"Jeremy Allaire","BrightcoveFounder -Chairman and CEO2004-2016"
61,"Will Warren","UCSD Coordinated Robotics LabUndergraduate Student Researcher2012-2013"
62,"Will Warren","Los Alamos National LaboratoryPost Baccalaureate Research2013-2014"
63,"Will Warren","Los Alamos National LaboratoryGraduate Research Assistant2015-2016"
64,"Will Warren","Basic Attention Token Technical Advisor2017"
65,"Willy Woo","ForbesContributing Writer2017"
66,"Willy Woo","He3LabsAdvisor2017-2019"
67,"Brendan Eich","Silicon GraphicsSoftware Engineer1985-1992"
68,"Brendan Eich","MicroUnitySoftware Engineer1992-1995"
69,"Brendan Eich","NetscapePrincipal Engineer / Chief Architect1995-2003"
70,"Brendan Eich","MozillaChief Architect2003-2005"
71,"Brendan Eich","MozillaCTO2005-2013"
72,"Brendan Eich","MozillaCTO and SVP Engineering2013-2014"
73,"Brendan Eich","MozillaCEO2014"
74,"Adam Back","PI CorporationSecurity Architect & Co-Founder - "
75,"Adam Back","EMCChief Info Sec Officer - "
76,"Anthony Pompliano","US ArmySergeant2006-2012"
77,"Anthony Pompliano","Snapchat -Inc.Growth2015"
78,"Anthony Pompliano","FacebookProduct Manager2014-2015"
79,"Anthony Pompliano","Full Tilt CapitalManaging Partner2016-2018"
80,"Linda Xie","AIGRisk Analyst2012-2014"
81,"Linda Xie","Coinbase Product Manager2014-2017"
82,"Neeraj K. Agrawal","Research AssistantThe Gifford Foundation2009-2010"
83,"Neeraj K. Agrawal","VERSIGNCorporate Communications Manager2014"
84,"Galia Benartzi","MytopiaVP Business Development2005-2008"
85,"Galia Benartzi","Particle Code IncCo-Founder & CEO2010-2011"
86,"Galia Benartzi","Founders FundVenture Partner2012-2013"
87,"Brian Kelly","Shelter Harbor CapitalManaging Member & Co-Founder2011-2013"
88,"Laura Shin","LearnVest -Inc.Senior Editor2011-2013"
89,"Laura Shin","CBS InteractiveFeatures Editor2011-2014"
90,"Laura Shin","ForbesSenior Editor2017-2018"
91,"Tuur Demeester","Goldonomic.beEditor2010-2011"
92,"Tuur Demeester","MacroTrends.beEditor2011-2013"
93,"Tuur Demeester","Adamant ResearchEditor in Chief2005-2017"
94,"Barry Silbert","Houlihan LokeyAssociate1998-2004"
95,"Barry Silbert","Restricted Stock PartnersCEO2004-2008"
96,"Barry Silbert","SecondMarket -Inc.Founder & Chairman2014-2015"
97,"Nouriel Roubini","Yale UniversityAssociate Professor of Economics1988-1995"
98,"Nouriel Roubini","Roubini Global EconomicsChairman2004-2012"
99,"Jeff Garzik","CNNWeb Developer1995-1997"
100,"Jeff Garzik","Red HatPrincipal Software Engineer2002-2013"
101,"Jeff Garzik","exMULTI -Inc.CEO2011-2013"
102,"Jeff Garzik","Bitpay Wallet Bitcoin Core Developer2013-2014"
103,"Jeff Garzik","Dunvegas Space SystemsFounder2012-2015"
104,"Amber Baldet","Blackwire LLCManaging Partner2005-2009"
105,"Amber Baldet","CapcoSenior Consultant2009-2012"
106,"Amber Baldet","J.P. MorganExecutive Director2012-2018"
107,"Jesse Powell","Lewt -Inc.Co-Founder & CEO2001-2011"
108,"Jesse Powell","Internet Ventures & HoldingsCo-Founder & CEO2006-2011"
109,"Bill Barhydt","Boom Financial -Inc.President -CEO & Founder2007-2016"
110,"Andy Cheung","Alibaba.comSales & Operations Manager2010-2011"
111,"Andy Cheung","Groupon of Hong KongCEO2015-2016"
112,"Andy Cheung","iClick Interactive Asia LtdHead of Hong Kong2016-2017"
113,"Wei Zhou","Zhaopin LimitedCFO2008-2009"
114,"Wei Zhou","Charm Communications IncCFO2009-2013"
115,"Wei Zhou","GrindrVice Chairman2017-2018"
116,"Luis Cuende","TelefonicaFirefox OS Developer2014"
117,"Luis Cuende","StamperyCo-Founder & CTO2014-2016"
