"id","person_name","similar_name"
1,"Tim Draper","Su Zhu"
2,"Tim Draper","Chris Burniske"
3,"Tim Draper","Ari Paul"
4,"Tim Draper","Ray Dalio"
5,"Tim Draper","Dae Yu"
6,"Tim Draper","Travis Kling"
7,"Tim Draper","Lawrence Lerner"
8,"Tim Draper","Meltem Demirors"
9,"Tim Draper","Brian Kelly"
10,"Tim Draper","Kathryn Haun"
11,"Marc Andreessen","Mark Yusko"
12,"Marc Andreessen","Tyler Winklevoss"
13,"Marc Andreessen","Mark Mueller-Eberstein"
14,"Marc Andreessen","Vinny Lingham"
15,"Marc Andreessen","Max Keiser"
16,"Marc Andreessen","Jesse Proudman"
17,"Marc Andreessen","Dan Tapiero"
18,"Marc Andreessen","Tom Brady"
19,"Marc Andreessen","Preston Pysh"
20,"Marc Andreessen","Spencer Dinwiddie"
21,"Thomas Lee","Peter Brandt"
22,"Thomas Lee","Anthony Xie"
23,"Thomas Lee","Koroush Khaneghah"
24,"Thomas Lee","Craig Cobb"
25,"Thomas Lee","Tuur Demeester"
26,"Thomas Lee","Avi Felman"
27,"Thomas Lee","Eric Thies"
28,"Thomas Lee","Mati Greenspan"
29,"Thomas Lee","Brian Kelly"
30,"Thomas Lee","Jacob Canfield"
31,"Viktor Radchenko","Anthony Di lorio"
32,"Viktor Radchenko","Julien Bouteloup"
33,"Viktor Radchenko","Caitlin Long"
34,"Viktor Radchenko","Elizabeth Stark"
35,"Viktor Radchenko","Jörg Molt"
36,"Viktor Radchenko","Michael Moro"
37,"Viktor Radchenko","Max Keiser"
38,"Viktor Radchenko","Chris Larsen"
39,"Viktor Radchenko","Joey Krug"
40,"Viktor Radchenko","Tony Tran"
41,"Jacob Canfield","Lark Davis"
42,"Jacob Canfield","Spencer Dinwiddie"
43,"Jacob Canfield","Anthony Pompliano"
44,"Jacob Canfield","Andreas Antonopoulos"
45,"Jacob Canfield","Dae Yu"
46,"Jacob Canfield","Udi Wertheimer"
47,"Jacob Canfield","John McAfee"
48,"Jacob Canfield","Nicholas Merten"
49,"Jacob Canfield","Snoop Dogg"
50,"Jacob Canfield","Tone Vays"
51,"Justin Wu","Alistair Milne"
52,"Justin Wu","Ivan Bjelajac"
53,"Justin Wu","Chris Larsen"
54,"Justin Wu","Guy Turner"
55,"Justin Wu","Julien Bouteloup"
56,"Justin Wu","Arry Yu"
57,"Justin Wu","Steve Ehrlich"
58,"Justin Wu","Samantha Yap"
59,"Justin Wu","Nicholas Gregory"
60,"Justin Wu","Sam Bankman-Fried"
61,"Dan Morehead","Joey Krug"
62,"Dan Morehead","Ray Dalio"
63,"Dan Morehead","Spencer Dinwiddie"
64,"Dan Morehead","Rahul Sood"
65,"Dan Morehead","Snoop Dogg"
66,"Dan Morehead","Cameron Winklevoss"
67,"Dan Morehead","Mahbod Moghadam"
68,"Dan Morehead","Peter Brandt"
69,"Dan Morehead","Kate Mitselmakher"
70,"Dan Morehead","Shakil Khan"
71,"Arthur Hayes","Antoni Trenchev"
72,"Arthur Hayes","Moe Vela"
73,"Arthur Hayes","Taylor Monahan"
74,"Arthur Hayes","Joseph Lubin"
75,"Arthur Hayes","George Harrap"
76,"Arthur Hayes","Max Kantelia"
77,"Arthur Hayes","Brian Fu"
78,"Arthur Hayes","Jeremy Allaire"
79,"Arthur Hayes","Dan Tapiero"
80,"Arthur Hayes","Xiong Yidan"
81,"Dan Larimer","Sam Bankman-Fried"
82,"Dan Larimer","Ivan Bjelajac"
83,"Dan Larimer","Bobby Lee"
84,"Dan Larimer","Arthur Breitman"
85,"Dan Larimer","Joe Roets"
86,"Dan Larimer","Sam Kazemian"
87,"Dan Larimer","Viktor Radchenko"
88,"Dan Larimer","Balaji Srinivasan"
89,"Dan Larimer","Richard Heart"
90,"Dan Larimer","Mark Mueller-Eberstein"
91,"Rahul Sood","Sam Kazemian"
92,"Rahul Sood","Travis Kling"
93,"Rahul Sood","Camila Russo"
94,"Rahul Sood","Jörg Molt"
95,"Rahul Sood","Esteban Ordano"
96,"Rahul Sood","Yi He"
97,"Rahul Sood","Tim Draper"
98,"Rahul Sood","Brian Fu"
99,"Rahul Sood","Thomas Thornton"
100,"Rahul Sood","Ethan Vera"
101,"Brock Pierce","Erik Voorhees"
102,"Brock Pierce","George Harrap"
103,"Brock Pierce","Gavin Anderson"
104,"Brock Pierce","Thor Chan"
105,"Brock Pierce","Gavin Wood"
106,"Brock Pierce","Joseph Lubin"
107,"Brock Pierce","David Sønstebø"
108,"Brock Pierce","Kelly Loeffler"
109,"Brock Pierce","Jack Lu"
110,"Brock Pierce","Mark Mueller-Eberstein"
111,"Erik Voorhees","Balaji Srinivasan"
112,"Erik Voorhees","Steve Ehrlich"
113,"Erik Voorhees","Raoul Pal"
114,"Erik Voorhees","Harry Horsfall"
115,"Erik Voorhees","Jake Yocom-Piatt"
116,"Erik Voorhees","Sergey Nazarov"
117,"Erik Voorhees","Sasha Ivanov"
118,"Erik Voorhees","Nikolay Storonsky"
119,"Erik Voorhees","Nicholas Gregory"
120,"Erik Voorhees","Adam Todd"
121,"Max Keiser","Justin Sun"
122,"Max Keiser","Chris Burniske"
123,"Max Keiser","Bobby Lee"
124,"Max Keiser","Amber Baldet"
125,"Max Keiser","Stani Kulechov"
126,"Max Keiser","Alexandre Kech"
127,"Max Keiser","Chun Wang"
128,"Max Keiser","Samson Mow"
129,"Max Keiser","Charles Hoskinson"
130,"Max Keiser","James Junwoo Kim"
131,"Tone Vays","Andreas Antonopoulos"
132,"Tone Vays","Nathan Batchelor"
133,"Tone Vays","Ran Neuner"
134,"Tone Vays","Eugene Loza"
135,"Tone Vays","Nicholas Merten"
136,"Tone Vays","Anthony Xie"
137,"Tone Vays","Thomas Lee"
138,"Tone Vays","Tuur Demeester"
139,"Tone Vays","Eric Thies"
140,"Tone Vays","Ivan Liljeqvist"
141,"Jameson Lopp","Ethan Fast"
142,"Jameson Lopp","Jared Tate"
143,"Jameson Lopp","Elizabeth Stark"
144,"Jameson Lopp","Pierre Rochard"
145,"Jameson Lopp","Loi Luu"
146,"Jameson Lopp","David Schwartz"
147,"Jameson Lopp","Viktor Radchenko"
148,"Jameson Lopp","Riccardo Spagni"
149,"Jameson Lopp","Monica Durga"
150,"Jameson Lopp","Hal Finney"
151,"Meltem Demirors","Dan Morehead"
152,"Meltem Demirors","Koroush Khaneghah"
153,"Meltem Demirors","Thor Chan"
154,"Meltem Demirors","Andre Cronje"
155,"Meltem Demirors","Alex Mashinsky"
156,"Meltem Demirors","Kosala Hemachandra"
157,"Meltem Demirors","Brian Fu"
158,"Meltem Demirors","Vinny Lingham"
159,"Meltem Demirors","Charlie Shrem"
160,"Meltem Demirors","Viktor Radchenko"
161,"Olaf Carlson-Wee","Jihan Wu"
162,"Olaf Carlson-Wee","Jared Tate"
163,"Olaf Carlson-Wee","Vignesh Sundaresan"
164,"Olaf Carlson-Wee","Mahbod Moghadam"
165,"Olaf Carlson-Wee","Peter Wood"
166,"Olaf Carlson-Wee","Paul Barroso"
167,"Olaf Carlson-Wee","Shakil Khan"
168,"Olaf Carlson-Wee","Baris Ozistek"
169,"Olaf Carlson-Wee","Chris Burniske"
170,"Olaf Carlson-Wee","Raoul Milhado"
171,"Jesse Proudman","Peter Brandt"
172,"Jesse Proudman","Dominic Williams"
173,"Jesse Proudman","Anthony Di lorio"
174,"Jesse Proudman","Soravis Srinawakoon"
175,"Jesse Proudman","Travis Kling"
176,"Jesse Proudman","Arthur Cheong"
177,"Jesse Proudman","Kelly Loeffler"
178,"Jesse Proudman","Jason Yanowitz"
179,"Jesse Proudman","Dan Tapiero"
180,"Jesse Proudman","Cagla Gul Senkardes"
181,"Joey Krug","Snoop Dogg"
182,"Joey Krug","David Schwartz"
183,"Joey Krug","Steve Ehrlich"
184,"Joey Krug","Ivan Liljeqvist"
185,"Joey Krug","Kristy-Leigh Minehan"
186,"Joey Krug","Julian Kopald"
187,"Joey Krug","Udi Wertheimer"
188,"Joey Krug","Anthony Di lorio"
189,"Joey Krug","Koroush Khaneghah"
190,"Joey Krug","Adam Cochran"
191,"Tyler Winklevoss","Linda Xie"
192,"Tyler Winklevoss","Anatoly Yakovenko"
193,"Tyler Winklevoss","James Junwoo Kim"
194,"Tyler Winklevoss","Changpeng Zhao"
195,"Tyler Winklevoss","On Yavin"
196,"Tyler Winklevoss","Dawn Song"
197,"Tyler Winklevoss","Nikolay Storonsky"
198,"Tyler Winklevoss","Dominik Schiener"
199,"Tyler Winklevoss","Alistair Milne"
200,"Tyler Winklevoss","Yuriy Kovalev"
201,"Cameron Winklevoss","Elizabeth Stark"
202,"Cameron Winklevoss","Jon Karas"
203,"Cameron Winklevoss","Kyle Samani"
204,"Cameron Winklevoss","Manish Kataria"
205,"Cameron Winklevoss","Travis Kling"
206,"Cameron Winklevoss","Yoni Assia"
207,"Cameron Winklevoss","Monica Durga"
208,"Cameron Winklevoss","Pat Larsen"
209,"Cameron Winklevoss","Tate Berenbaum"
210,"Cameron Winklevoss","Ben Delo"
211,"Robert Mao","Tim Coulter"
212,"Robert Mao","Sergey Nazarov"
213,"Robert Mao","Meltem Demirors"
214,"Robert Mao","Taylor Monahan"
215,"Robert Mao","Jed McCaleb"
216,"Robert Mao","Sam Williams"
217,"Robert Mao","Max Keiser"
218,"Robert Mao","Gajesh Naik"
219,"Robert Mao","Julien Bouteloup"
220,"Robert Mao","Michael Saylor"
221,"Charlie Shrem","Bobby Ong"
222,"Charlie Shrem","Craig Wright"
223,"Charlie Shrem","Cal Evans"
224,"Charlie Shrem","Chris Larsen"
225,"Charlie Shrem","Andrew Fai"
226,"Charlie Shrem","Michael Moro"
227,"Charlie Shrem","Su Zhu"
228,"Charlie Shrem","Joe Roets"
229,"Charlie Shrem","Nicholas Fett"
230,"Charlie Shrem","Chris Jones"
231,"David Chaum","Adam Levy"
232,"David Chaum","Jason Yanowitz"
233,"David Chaum","David Schwartz"
234,"David Chaum","Balaji Srinivasan"
235,"David Chaum","Rahul Sood"
236,"David Chaum","Elizabeth Stark"
237,"David Chaum","Pierre Rochard"
238,"David Chaum","Hal Finney"
239,"David Chaum","Loi Luu"
240,"David Chaum","Erhan Korhaliller"
241,"Nick Szabo","Brian Armstrong"
242,"Nick Szabo","Nicholas Fett"
243,"Nick Szabo","Jake Yocom-Piatt"
244,"Nick Szabo","Andre Cronje"
245,"Nick Szabo","Joe Roets"
246,"Nick Szabo","Ivan Liljeqvist"
247,"Nick Szabo","Paolo Ardoino"
248,"Nick Szabo","Jesse Proudman"
249,"Nick Szabo","Vlad Zamfir"
