"id","product_name","ccy"
1,"Delta","Tether"
2,"Delta","Cardano"
3,"Delta","Stellar"
4,"Delta","BNB"
5,"Delta","EOS"
6,"Delta","Bitcoin Cash"
7,"Delta","Litecoin"
8,"Delta","XRP"
9,"Delta","Ethereum"
10,"Delta","Bitcoin"
11,"TREZOR ONE White","Namecoin"
12,"TREZOR ONE White","Aion"
13,"TREZOR ONE White","Bitcoin Private"
14,"TREZOR ONE White","Golem"
15,"TREZOR ONE White","Dogecoin"
16,"TREZOR ONE White","DigiByte"
17,"TREZOR ONE White","Decred"
18,"TREZOR ONE White","Bitcoin Gold"
19,"TREZOR ONE White","Qtum"
20,"TREZOR ONE White","Zcash"
21,"TREZOR ONE White","NEM"
22,"TREZOR ONE White","Ethereum Classic"
23,"TREZOR ONE White","Dash"
24,"TREZOR ONE White","Litecoin"
25,"TREZOR ONE White","Bitcoin Cash"
26,"TREZOR ONE White","Ethereum"
27,"TREZOR ONE White","Bitcoin"
28,"Amplify Brokerage","EOS"
29,"Amplify Brokerage","0x"
30,"Amplify Brokerage","Basic Attention Token"
31,"Amplify Brokerage","Ethereum Classic"
32,"Amplify Brokerage","Neo"
33,"Amplify Brokerage","Cardano"
34,"Amplify Brokerage","Dash"
35,"Amplify Brokerage","Stellar"
36,"Amplify Brokerage","Bitcoin Cash"
37,"Amplify Brokerage","XRP"
38,"Amplify Brokerage","Litecoin"
39,"Amplify Brokerage","Ethereum"
40,"Amplify Brokerage","Bitcoin"
41,"Ohio Bitcoin","Litecoin"
42,"Ohio Bitcoin","XRP"
43,"Ohio Bitcoin","Ethereum"
44,"Ohio Bitcoin","Bitcoin"
45,"Blockchain Explorer","Bitcoin Cash"
46,"Blockchain Explorer","Ethereum"
47,"Blockchain Explorer","Bitcoin"
48,"Etherscan","Ethereum"
49,"Tangata Manu","Cardano"
50,"Seiza","Cardano"
51,"Sheetcoin","Ethereum"
52,"RollerCoin","Dogecoin"
53,"RollerCoin","Bitcoin Cash"
54,"RollerCoin","Ethereum"
55,"RollerCoin","Bitcoin"
56,"Bitpie","Bitcoin Cash"
57,"Bitpie","Qtum"
58,"Bitpie","Dash"
59,"Bitpie","Zcash"
60,"Bitpie","TRON"
61,"Bitpie","Litecoin"
62,"Bitpie","Tether"
63,"Bitpie","EOS"
64,"Bitpie","Ethereum"
65,"Bitpie","Bitcoin"
66,"Bexplus","XRP"
67,"Bexplus","EOS"
68,"Bexplus","Litecoin"
69,"Bexplus","Ethereum"
70,"Bexplus","Bitcoin"
71,"Temporal","Bitcoin Cash"
72,"Temporal","Dash"
73,"Temporal","Ethereum"
74,"Prodoge","Bitcoin"
75,"Prodoge","DigiByte"
76,"Prodoge","Verge"
77,"Prodoge","DogeCash"
78,"Prodoge","Dogecoin"
79,"Haven","Zcash"
80,"Haven","Litecoin"
81,"Haven","Bitcoin Cash"
82,"Haven","Bitcoin"
83,"BC.Game","Monero"
84,"BC.Game","Dogecoin"
85,"BC.Game","EOS"
86,"BC.Game","Litecoin"
87,"BC.Game","Bitcoin"
88,"BC.Game","Ethereum"
89,"Meme Factory","district0x"
90,"Meme Factory","Ethereum"
91,"Yoroi Wallet","Cardano"
92,"Daedalus","Cardano"
93,"XPet","EOS"
94,"Ether Kingdoms","Ether Kingdoms Token"
95,"Ether Kingdoms","Ethereum"
96,"PandaFun","EOS"
97,"EvolutionLand","Ethereum"
98,"Cash App","Bitcoin"
99,"Ethermium","SingularityNET"
100,"Ethermium","Ren"
101,"Ethermium","Aurora DAO"
102,"Ethermium","Fantom"
103,"Ethermium","VIBE"
104,"Ethermium","QuarkChain"
105,"Ethermium","Eidoo"
106,"Ethermium","IOStoken"
107,"Ethermium","IoTeX"
108,"Ethermium","iExec RLC"
109,"Ethermium","Decentraland"
110,"Ethermium","district0x"
111,"Ethermium","Loom Network"
112,"Ethermium","TrueUSD"
113,"Ethermium","Holo"
114,"Ethermium","Chainlink"
115,"Ethermium","YOYOW"
116,"Ethermium","Basic Attention Token"
117,"Ethermium","0x"
118,"Ethermium","Zilliqa"
119,"Ethermium","BNB"
120,"Ethermium","Pundi X [new]"
121,"Ethermium","Ethereum"
122,"CryptoRome","Ethereum"
123,"BTC.com Wallet App","Bitcoin Cash"
124,"BTC.com Wallet App","Bitcoin"
125,"Circle Invest","EOS"
126,"Circle Invest","Qtum"
127,"Circle Invest","0x"
128,"Circle Invest","Stellar"
129,"Circle Invest","Monero"
130,"Circle Invest","Zcash"
131,"Circle Invest","Litecoin"
132,"Circle Invest","Ethereum Classic"
133,"Circle Invest","Bitcoin Cash"
134,"Circle Invest","Ethereum"
135,"Circle Invest","Bitcoin"
136,"Everipedia","Everipedia"
137,"EOS Knights","EOS"
138,"TronChat","TRON"
139,"uPort","Ethereum"
140,"Crypto Space Commander","Ethereum"
141,"MLB Crypto Baseball","Ethereum"
142,"CryptoCities","Ethereum"
143,"Everdragons","Ethereum"
144,"Decentraland","Decentraland"
145,"Decentraland","Ethereum"
146,"BRD","Ethereum"
147,"BRD","Bitcoin Cash"
148,"BRD","Bitcoin"
149,"LandSecrets","Ethereum"
150,"Electrum Bitcoin Wallet","Bitcoin"
151,"Tenta Browser","Ethereum"
152,"CoinTiger","Gifto"
153,"CoinTiger","PRASM"
154,"CoinTiger","Acute Angle Cloud"
155,"CoinTiger","MyToken"
156,"CoinTiger","Proton Token"
157,"CoinTiger","TrueUSD"
158,"CoinTiger","Odyssey"
159,"CoinTiger","Animation Vision Cash"
160,"CoinTiger","Olive"
161,"CoinTiger","Yee"
162,"CoinTiger","All Sports"
163,"CoinTiger","Storj"
164,"CoinTiger","Cortex"
165,"CoinTiger","aelf"
166,"CoinTiger","Bytom"
167,"CoinTiger","Status"
168,"CoinTiger","Augur"
169,"CoinTiger","TRON"
170,"CoinTiger","BitShares"
171,"CoinTiger","Ethereum Classic"
172,"CoinTiger","Litecoin"
173,"CoinTiger","Ethereum"
174,"CoinTiger","EOS"
175,"CoinTiger","Bitcoin Cash"
176,"CoinTiger","Bitcoin"
177,"Livepeer","Livepeer"
178,"GreenAddress","Bitcoin"
179,"CryptoSoccr","Ethereum"
180,"Chibi Fighters","Ethereum"
181,"GP Casino","EOS"
182,"Panda Earth","Ethereum"
183,"Digital BitBox","Litecoin"
184,"Digital BitBox","Ethereum Classic"
185,"Digital BitBox","Ethereum"
186,"Digital BitBox","Bitcoin"
187,"Bitpay Wallet","Bitcoin Cash"
188,"Bitpay Wallet","Bitcoin"
189,"Axie Infinity","Ethereum"
190,"Abra","Vertcoin"
191,"Abra","Stratis"
192,"Abra","Status"
193,"Abra","NEM"
194,"Abra","Lisk"
195,"Abra","Neo"
196,"Abra","Ethereum Classic"
197,"Abra","DigiByte"
198,"Abra","Bitcoin Gold"
199,"Abra","Augur"
200,"Abra","0x"
201,"Abra","Verge"
202,"Abra","Stellar"
203,"Abra","Zcash"
204,"Abra","Qtum"
205,"Abra","Dogecoin"
206,"Abra","Dash"
207,"Abra","Monero"
