"id","product_name","feature"
1,"Delta","PRICE ALERTS – Set up personal notifications for each cryptocurrency. Get daily alerts and notifications when there are significant changes to a coin’s price or your portfolio’s value."
2,"Delta","SYNC & BACK-UP DATA ACROSS DEVICES – Transfer or sync your data between devices easily without accounts! Easily back-up your data using our recovery QR code."
3,"Delta","EXCHANGE & WALLET CONNECTIONS – Sync your portfolio automatically by connecting with a variety of exchanges and link your ETH -  BTC -  LTC -  NEO -  and other wallet addresses to automatically import transactions!"
4,"Delta","NEWS & DELTA DIRECT – Create a personalized news feed by following coins you like. Delta Direct is a transparent way for asset teams to send updates directly to you. Real news -  directly from the source."
5,"Delta","PORTFOLIO ANALYTICS – A complete analytics dashboard giving you valuable insights into your portfolio(s) such as location of your coins -  fees breakdown -  most used exchanges and more."
6,"Delta","HUGE LIBRARY OF COINS – Track over 5000 crypto coins -  including Bitcoin -  Ethereum -  Litecoin -  IOTA -  NEO -  Dash -  Monero -  and many more!"
7,"Delta","WATCHLIST & MARKETS – A full coinmarketcap style list of coins along with global market data. Add coins to your watchlist if you just want to keep track of certain coins."
8,"Delta","DETAILED COIN ANALYSIS – See the current price -  chart -  market cap -  volume -  high -  low -  order book -  depth chart -  your holdings -  your profit/loss. project website -  whitepaper and more."
9,"Delta","PORTFOLIO AT A GLANCE – A clear overview of your total portfolio balance -  profit & loss during various time periods. See your cryptocurrency investments and trends in not only your local currency but in ANY fiat and cryptocurrency."
10,"TREZOR ONE White","Supported Cryptocurrencies: Trezor supports more than 500 coins."
11,"TREZOR ONE White","Safety & certifications: The Trezor is CE and RoHS certified -  so it meets all quality -  reliability and environmental standards. It’s fine to take your Trezor with you on the airplane. Like all modern electronics -  the X-Rays won’t hurt it."
12,"TREZOR ONE White","Screen: Bright OLED – 128×64 pixels. Enough to hold six lines of text. Can display all the details needed to verify a transaction in a single screenfull."
13,"TREZOR ONE White","CPU: 120 MHz embedded ARM processor (Cortex M3) running a custom developed system."
14,"TREZOR ONE White","Connectivity: Micro USB connector for connecting to the computer or mobile phone."
15,"TREZOR ONE White","Operating temperature: -20°C to +60°C (-4°F – +140°F)"
16,"TREZOR ONE White","Weight: 12 g (0.42 oz)"
17,"TREZOR ONE White","Dimensions: 60mm x 30mm x 6mm (2.4in x 1.2in x 0.2in)"
18,"TREZOR ONE White","Compatibility: Trezor is a USB 2.0 device compatible with Windows -  Linux and macOS (10.8 or higher)."
19,"TREZOR ONE White","Secured"
20,"TREZOR ONE White","Use without a risk"
21,"Coygo","Pre-order calcs to analyze order book data and determine a potential orders true cost before submitting."
22,"Coygo","View aggregated trade and transfer history across all connected exchanges."
23,"Coygo","Transfer between wallets with a simple but powerful interface -  never deal with manually entering wallet addresses again."
24,"Coygo","Track your portfolio across all connected exchanges -  view wallet balances in USD -  BTC or ETH."
25,"Coygo","Asset screener to compose powerful custom search filters of coins and tokens."
26,"Coygo","Real-time candlestick charts with indicators."
27,"Coygo","Real-time arbitrage scanning across exchanges."
28,"Coygo","Real-time trade analysis to find trends and spot whales."
29,"Coygo","Real-time insights including order book superiority and configurable depth charts."
30,"Coygo","Monitor and submit trades to markets on multiple exchanges simultaneously."
31,"Coygo","Exchange account API keys NEVER leave your machine -  they are only stored encrypted on your hard drive. Coygo’s servers never have access to your accounts."
32,"Coygo","Exchange account API keys are optional -  all data tools are available without API keys."
33,"Coygo","Available on Windows -  macOS and Linux."
34,"RollerCoin","Become a mining pro and earn tons of real satoshi! You can withdraw it afterwards or deposit more to invest further."
35,"RollerCoin","Earn more money as you increase you mining power. Buy miners at the in-game shop to get stable income."
36,"RollerCoin","Build up your mining power playing games -  reaching high scores -  and completing tasks."
37,"RollerCoin","Sign up and customize your character."
38,"Bitpie","Discover Page – Through an evaluation by specialists’ panel -  various potential projects are displayed in the Discover Page. Popular Dapps are provided to build a brand new Dapp ecology."
39,"Bitpie","OTC – Flexible and dual-option trades featured by convenience and quickness. – Professional KYC and anti-fraud system in compliance with regulations and laws."
40,"Bitpie","Built-in Exchange – Cold storage helps to keep assets efficiently and safely. Abundant resources and numerous partners enable good liquidity."
41,"Bitpie","Inclusiveness – Integration of diversified Dapps in various use cases gets you closer to the blockchain world."
42,"Bitpie","Ease of Use – Logical and legible operation design makes it easy to get started. The intuitive UI enables a friendly user experience."
43,"Bitpie","Security – Based on Bither technology -  Bitpie Wallet adopts multi-layer protection and stores over-10-billion-dollar assets with no asset loss."
44,"Bexplus","Multiple-Coin Support:  BTC -  ETH -  LTC -  EOS - XRP"
45,"Bexplus","Multilingual Support:  Support and FAQs available in multiple languages"
46,"Bexplus","All Devices Covered:  Web -  Android -  iOS"
47,"Bexplus","Interest-bearing Wallet:  Safely store BTC and enjoy up to an annualized interest of 30%. Instant deposit and withdraw -  and 24/7 available."
48,"Bexplus","High Liquidity:  Extra-fast order execution even during great market fluctuation -  no spread and with low latency."
49,"Bexplus","High Security:  Protection against DDoS attacks and encrypted with SSL -  multisignature technology -  2FA to secure users’ account and assets."
113,"Daedalus","Wallets can be exported to paper certificates -  giving the maximum security option of placing funds in cold storage."
50,"Bexplus","Simple Trading Interface:  Intuitive -  user-friendly and simplistic trading interface helps newcomers start futures trading easily."
51,"Temporal","Open source"
52,"Temporal","Golang and JavaScript SDK"
53,"Temporal","Enterprise IPFS nodes and folder uploads"
54,"Temporal","IPFS HTTP API reverse proxy"
55,"Temporal","IPFS private network management"
56,"Temporal","PubSub messaging"
57,"Temporal","IPFS key management"
58,"Temporal","IPNS publishing"
59,"Temporal","IPFS search engine"
60,"Temporal","IPFS uploads & pinning"
61,"Prodoge","Find anyone and send them Crypto instantly and for free"
62,"Prodoge","Search & Marketplace for promoting and finding new business"
63,"Prodoge","Profiles for accepting payments and selling your goods & services"
64,"Prodoge","Embeddable Widget Creator for Accepting Crypto Currency on Websites"
65,"Prodoge","Mobile Transaction Records"
66,"Prodoge","Mobile Invoicing & Payments"
67,"Prodoge","Mobile Point of Sale"
68,"OAS Chain","OAS Gateway for IoTSecurity"
69,"OAS Chain","OAS Private Blockchain Hosting Service"
70,"OAS Chain","OAS Secure Payblockchain"
71,"Haven","Advanced Tech Made Simple. Haven uses several advanced technologies to keep your information private while being simple to use. You don’t need to know how decentralization -  cryptocurrency -  or end-to-end encryption work. They work for you now."
72,"Haven","Social Networking. Follow friends and the top storefronts to get updates and find out what they’re up to. Post photos and messages for others on the community feed."
73,"Haven","Private Encrypted Messaging. Chat with sellers -  buyers -  and your friends all over the world with Haven’s end-to-end encrypted messaging."
74,"Haven","Cryptocurrency Wallet. Send and receive payments via Bitcoin -  Bitcoin Cash -  Litecoin and Zcash all from one wallet. Earn and spend crypto in the OpenBazaar marketplace."
75,"Haven","Shop & Sell Privately. Find the products you love without someone looking over your shoulder. Manage your own store while staying private – and paying no marketplace fees."
76,"Crypto Pro","Price history graphs for the last 24 hours"
