"id","product_name","team"
1,"CoinStats","Team Location Armenia"
2,"CoinStats","Parent Company Inomma LLC"
3,"Coygo","Team Location San Diego -  CA -  U.S."
4,"Coygo","Parent Company Coygo -  Inc."
5,"Etherscan","Parent Company Etherscan"
6,"Tangata Manu","Team Location Tokyo -  Japan"
7,"Tangata Manu","Parent Company EMURGO"
8,"Seiza","Team Location Tokyo -  Japan"
9,"Seiza","Parent Company EMURGO"
10,"Temporal","Team Location Vancouver -  Canada"
11,"Temporal","Parent Company RTrade Technologies"
12,"Prodoge","Team Location Los Angeles -  CA -  U.S."
13,"Prodoge","Parent Company Prodoge"
14,"OAS Chain","Team Location South Korea"
15,"OAS Chain","Parent Company NBIT Korea"
16,"Haven","Parent Company OB1"
17,"Algomate Trading Platform","Team Location New York -  NY -  U.S."
18,"Algomate Trading Platform","Parent Company Algomate Inc."
19,"Yoroi Wallet","Team Location Tokyo -  Japan"
20,"Yoroi Wallet","Parent Company EMURGO"
21,"Daedalus","Team Location Global"
22,"Daedalus","Parent Company Input Output"
23,"Quadency","Team Location New York -  NY -  USA"
24,"Quadency","Parent Company Quadency"
25,"Cashbackcloud","Team Location Roseau Valley -  Commonwealth of Dominica"
26,"Cashbackcloud","Parent Company Cashbackcloud Ltd."
27,"Cash App","Team Location San Francisco -  CA"
28,"Cash App","Parent Company Square -  Inc."
29,"Circle Invest","Team Location Boston -  MA -  USA"
30,"Circle Invest","Parent Company Circle"
31,"Everipedia","Team Location Los Angeles -  CA"
32,"Everipedia","Parent Company Everipedia International"
33,"Everdragons","Parent Company Everdragons"
34,"BRD","Team Location Pfäffikon SZ Switzerland"
35,"BRD","Parent Company Breadwinner AG"
36,"Electrum Bitcoin Wallet","Team Location Worldwide"
37,"Electrum Bitcoin Wallet","Parent Company Electrum Technologies"
38,"Livepeer","Team Location New York"
39,"Livepeer","Parent Company Livepeer -  Inc."
40,"Digital BitBox","Team Location Zürich -  Switzerland"
41,"Digital BitBox","Parent Company Shift Devices AG"
