"id","exchange","token_name"
1,"Swapzone","Magnetcoin"
2,"Phemex","Magnetcoin"
3,"Exolix","Magnetcoin"
4,"Symbiosis Labs","Sync"
5,"SwissBorg","AsicCoin"
6,"Symbiosis Labs","Destiny"
7,"Symbiosis Labs","DAPPSTER"
8,"Symbiosis Labs","SydPak"
9,"Symbiosis Labs","Dollar Online"
10,"SwissBorg","Dollar Online"
11,"Currency.com","Dollar Online"
12,"Coinbase","Dollar Online"
13,"Symbiosis Labs","PosEx"
14,"Coinbase","PosEx"
15,"Symbiosis Labs","DPAY"
16,"WhaleFin","Argus"
17,"Symbiosis Labs","Frazcoin"
18,"Coinbase","Frazcoin"
19,"CryptoLocally","GeertCoin"
20,"WhaleFin","MantraCoin"
21,"Symbiosis Labs","Revenu"
22,"Coinbase","Revenu"
23,"Symbiosis Labs","Bitvolt"
24,"Coinbase","Bitvolt"
25,"WhaleFin","BillaryCoin"
26,"Symbiosis Labs","Debitcoin"
27,"Symbiosis Labs","CaliphCoin"
28,"Bithumb","Spots"
29,"Symbiosis Labs","HempCoin"
30,"ZBG","ParallelCoin"
31,"SwissBorg","Joincoin"
32,"Symbiosis Labs","The Cypherfunks"
33,"Coinbase","The Cypherfunks"
34,"Symbiosis Labs","Elementrem"
35,"CryptoLocally","BOScoin"
36,"ZBG","Truckcoin"
37,"CryptoLocally","PizzaCoin"
38,"Binance","PizzaCoin"
39,"Binance","TeslaCoin"
40,"Symbiosis Labs","Digital Money Bits"
41,"Symbiosis Labs","LiteBitcoin"
42,"Coinbase","KingN Coin"
43,"Symbiosis Labs","CampusCoin"
44,"Nash","EcoCoin"
45,"ChangeNOW","Litecoin Plus"
46,"Symbiosis Labs","Tristar Coin"
47,"Symbiosis Labs","Crypto"
48,"Symbiosis Labs","TajCoin"
49,"Symbiosis Labs","KiloCoin"
50,"SwissBorg","KiloCoin"
51,"Gemini","KiloCoin"
52,"Coinbase","KiloCoin"
53,"DeversiFi","Rupaya"
54,"FTX","Piggycoin"
55,"Symbiosis Labs","X-Coin"
56,"Gemini","SACoin"
57,"Coinbase","SACoin"
58,"CryptoLocally","IncaKoin"
59,"Gemini","BERNcash"
60,"Coinbase","BERNcash"
61,"Binance","Shorty"
62,"Symbiosis Labs","8Bit"
63,"Nash","BunnyCoin"
64,"CryptoLocally","Pakcoin"
65,"WhaleFin","NobleCoin"
66,"FTX","UFO Coin"
67,"DeversiFi","MazaCoin"
68,"Symbiosis Labs","Virtacoinplus"
69,"Coinbase","Virtacoinplus"
70,"Swapzone","Version"
71,"Phemex","Version"
72,"Exolix","Version"
73,"Symbiosis Labs","FinCoin"
74,"CryptoLocally","UnbreakableCoin"
75,"BigONE","UnbreakableCoin"
76,"Symbiosis Labs","Moin"
77,"MXC","Moin"
78,"dex.blue","Moin"
79,"DeversiFi","Moin"
80,"Decoin","Moin"
81,"Coinbase","Moin"
82,"CODEX","Moin"
83,"Swapzone","KekCoin"
84,"DeversiFi","KekCoin"
85,"WhaleFin","Megacoin"
86,"Symbiosis Labs","NuBits"
87,"ZBG","Infinitecoin"
88,"Swapzone","Infinitecoin"
89,"HitBTC","Infinitecoin"
90,"FTX","Infinitecoin"
91,"ChangeNOW","Infinitecoin"
92,"BigONE","Infinitecoin"
93,"Symbiosis Labs","Kobocoin"
94,"Bitspark","Influxcoin"
95,"SwissBorg","HunterCoin"
96,"Coinbase","HunterCoin"
97,"Bitspark","Magi"
98,"OKX","CannabisCoin"
99,"Gemini","CannabisCoin"
100,"Symbiosis Labs","Unify"
101,"MXC","Unify"
102,"Crypto.com","Unify"
103,"Coinbase","Unify"
104,"Symbiosis Labs","Hush"
105,"Bithumb","Centurion"
106,"Binance","TrustPlus"
107,"ZBG","Espers"
108,"ZB.com","Espers"
109,"OKX","Espers"
110,"FTX","Espers"
111,"Symbiosis Labs","GoldCoin"
112,"Symbiosis Labs","Sequence"
113,"Symbiosis Labs","EquiTrader"
114,"Coinbase","EquiTrader"
115,"Swapzone","HTML5COIN"
116,"DeversiFi","HTML5COIN"
117,"Bithumb","Bitcore"
118,"OKX","DubaiCoin"
119,"BTSE","DubaiCoin"
120,"WhaleFin","Mooncoin"
121,"Crypto.com","Feathercoin"
122,"MXC","PRIZM"
123,"OKX","PinkCoin"
124,"MXC","PinkCoin"
