"id","sector","token_name"
1,"Marketplace","FidentiaX"
2,"Social","Xmoneta"
3,"Entertainment","VogoV"
4,"Adult","VogoV"
5,"Sponsored","VogoV"
6,"PoW","Akroma"
7,"PoW","Citadel"
8,"PoW","Plancoin"
9,"PoS","Plancoin"
10,"PoW","FlutterCoin"
11,"PoS","FlutterCoin"
12,"Inactive","FlutterCoin"
13,"PoW","SegWit2x (Pre-Launch)"
14,"PoS","SegWit2x (Pre-Launch)"
15,"PoW","OCOW"
16,"PoS","OCOW"
17,"Abandoned","OCOW"
18,"PoW","BitCentavo"
19,"Inactive","BitCentavo"
20,"Abandoned","BitCentavo"
21,"PoW","Aseancoin"
22,"Abandoned","Aseancoin"
23,"PoW","Topaz Coin"
24,"PoS","Topaz Coin"
25,"Inactive","Topaz Coin"
26,"Abandoned","Topaz Coin"
27,"PoW","Mavro"
28,"PoS","Mavro"
29,"Abandoned","Mavro"
30,"PoS","EDRCoin"
31,"Abandoned","EDRCoin"
32,"PoW","Moneta"
33,"Abandoned","Moneta"
34,"PoW","Iqcash"
35,"Coin","Iqcash"
36,"PoW","Beetle Coin"
37,"PoS","Beetle Coin"
38,"Coin","Beetle Coin"
39,"PoW","Thunderstake"
40,"PoS","Thunderstake"
41,"Coin","Thunderstake"
42,"PoW","Ulord"
43,"PoS","Ulord"
44,"Coin","Ulord"
45,"PoW","BBSCoin"
46,"Coin","BBSCoin"
47,"PoW","Ethersocial"
48,"Coin","Ethersocial"
49,"PoS","BitF"
50,"Inactive","BitF"
51,"Coin","BitF"
52,"PoS","Credit Tag Chain"
53,"Inactive","Credit Tag Chain"
54,"Coin","Credit Tag Chain"
55,"PoS","BitNewChain"
56,"Coin","BitNewChain"
57,"PoW","Cashbery Coin"
58,"PoS","Cashbery Coin"
59,"Inactive","Cashbery Coin"
60,"Coin","Cashbery Coin"
61,"Business Service","Cashbery Coin"
62,"PoW","Nasdacoin"
63,"PoS","Nasdacoin"
64,"Coin","Nasdacoin"
65,"PoW","Rubex Money"
66,"Inactive","Rubex Money"
67,"Coin","Rubex Money"
68,"PoS","TWIST"
69,"Inactive","TWIST"
70,"Coin","TWIST"
71,"PoS","Curium"
72,"Coin","Curium"
73,"PoW","Compound Coin"
74,"PoS","Compound Coin"
75,"Inactive","Compound Coin"
76,"Coin","Compound Coin"
77,"PoS","Bitcoin W Spectrum"
78,"Inactive","Bitcoin W Spectrum"
79,"Coin","Bitcoin W Spectrum"
80,"PoW","Mero"
81,"Coin","Mero"
82,"Business Service","Mero"
83,"PoW","Forkcoin"
84,"PoS","Forkcoin"
85,"Inactive","Forkcoin"
86,"Coin","Forkcoin"
87,"PoW","EtherGem"
88,"Coin","EtherGem"
89,"PoW","Arepacoin"
90,"PoS","Arepacoin"
91,"Coin","Arepacoin"
92,"PoW","InterCrone"
93,"PoS","InterCrone"
94,"Coin","InterCrone"
95,"PoW","Lynx"
96,"Coin","Lynx"
97,"PoW","HighCoin"
98,"PoS","HighCoin"
99,"Inactive","HighCoin"
100,"Coin","HighCoin"
101,"PoS","Adrenaline"
102,"Inactive","Adrenaline"
103,"Coin","Adrenaline"
104,"PoW","EUNO"
105,"PoS","EUNO"
106,"Coin","EUNO"
107,"PoW","MassGrid"
108,"Coin","MassGrid"
109,"PoW","UltraNote Coin"
110,"Inactive","UltraNote Coin"
111,"Coin","UltraNote Coin"
112,"PoW","Bitcoin Instant"
113,"Coin","Bitcoin Instant"
114,"PoS","Bitblocks"
115,"Coin","Bitblocks"
116,"PoW","ARLIZE"
117,"PoS","ARLIZE"
118,"Inactive","ARLIZE"
119,"Coin","ARLIZE"
120,"PoS","ACRE"
121,"Coin","ACRE"
122,"PoS","Semux"
123,"Coin","Semux"
124,"PoW","BitcoiNote"
125,"Coin","BitcoiNote"
126,"Coin","Arionum"
127,"Privacy","PRiVCY"
128,"PoW","PRiVCY"
129,"PoS","PRiVCY"
130,"Inactive","PRiVCY"
131,"Coin","PRiVCY"
132,"PoW","Niobio Cash"
133,"Coin","Niobio Cash"
134,"PoW","Bitcoin File"
135,"Inactive","Bitcoin File"
136,"Coin","Bitcoin File"
137,"PoW","Turtlecoin"
138,"Coin","Turtlecoin"
139,"PoW","Nimiq"
140,"Coin","Nimiq"
141,"PoS","MIRQ"
142,"Inactive","MIRQ"
143,"Communication","MIRQ"
144,"Coin","MIRQ"
145,"PoW","SnowGem"
146,"Coin","SnowGem"
147,"PoW","FuturoCoin"
148,"Coin","FuturoCoin"
149,"PoW","Ether Zero"
150,"Coin","Ether Zero"
151,"PoW","ContractNet"
152,"IoT","ContractNet"
153,"Coin","ContractNet"
154,"PoW","Bank Coin"
155,"PoS","Bank Coin"
156,"Coin","Bank Coin"
157,"PoW","BitTube"
158,"Entertainment","BitTube"
159,"Coin","BitTube"
160,"Inactive","Nexty"
161,"Coin","Nexty"
162,"PoW","United Crypto Community"
163,"Inactive","United Crypto Community"
164,"Coin","United Crypto Community"
165,"PoW","PROUD Money"
166,"PoS","PROUD Money"
167,"Coin","PROUD Money"
168,"PoS","Velox"
169,"Exchange","Velox"
170,"Coin","Velox"
171,"Sponsored","Velox"
172,"PoS","Nullex"
173,"Coin","Nullex"
174,"PoW","TrustNote"
