"id","team","token_name"
15308,"Jūlija Rubcova","Xmoneta"
15309,"Lauris Pētersons","Xmoneta"
15310,"Eduards Jefremovs","Xmoneta"
15311,"Logan King","Xmoneta"
15312,"Linda Pirvite","Xmoneta"
15313,"Arnis Auzāns","Xmoneta"
15314,"Jevgenijs Filippovs","Xmoneta"
15315,"Krišjānis Jēkabsons","Xmoneta"
15316,"Aivars Reinbergs","Xmoneta"
15317,"Miks Brauns","Xmoneta"
15318,"Austris Eglītis","Xmoneta"
15319,"Aivis Reinbergs","Xmoneta"
15320,"Brian S. Gross","VogoV"
15321,"Rocco Siffredi","VogoV"
15322,"Bridgette B","VogoV"
15323,"Aleksandr Shishenko","VogoV"
15324,"Dmitry Lensky","VogoV"
15325,"Grigory Smirnov","VogoV"
15326,"Pavel Chirukhin","VogoV"
15327,"Nathan Delong","VogoV"
15328,"Ilya Trofimov","VogoV"
15329,"Vlad Makushev","VogoV"
15330,"Ivan Kirillov","VogoV"
15331,"Jonni Darkko","VogoV"
15332,"Markus Dupree","VogoV"
15333,"Victor Reza","Akroma"
15334,"Stephen Koller","Akroma"
15335,"Gunveer Natt","Akroma"
15336,"Andrew Hainen","Akroma"
15337,"Ian DesJardins","Akroma"
15338,"Eric Polerecky","Akroma"
15339,"Zhirun Zhao","Thunderstake"
15340,"Emperor Emocan","Thunderstake"
15341,"Maruf Ahmed","Thunderstake"
15342,"Smarty Jay","Thunderstake"
15343,"Xomarx","Thunderstake"
15344,"Pablo Allegro","Thunderstake"
15345,"Liang Liang","Ulord"
15346,"Christine Chern","Ulord"
15347,"Yan Xiangtao","Ulord"
15348,"Cyber Kuber","Ulord"
15349,"Kwuaint Li","Ulord"
15350,"Dam Woods","Ulord"
15351,"Jeong Yoon-mi","Ethersocial"
15352,"Kim Ki-man","Ethersocial"
15353,"Mincheol Eric Park","Ethersocial"
15354,"Kim Myeong-Hun","Ethersocial"
15355,"Seomun Seong-Su","Ethersocial"
15356,"Lee Woon-Hee","Ethersocial"
15357,"Felix Suroso","Credit Tag Chain"
15358,"Shally J","Credit Tag Chain"
15359,"Nigel Lim","Credit Tag Chain"
15360,"Hao Lin","Credit Tag Chain"
15361,"Kazawa Isao","BitNewChain"
15362,"Margarett","Cashbery Coin"
15363,"Ivan","Cashbery Coin"
15364,"Aleksandr","Cashbery Coin"
15365,"Lada","Cashbery Coin"
15366,"Vasiliy","Cashbery Coin"
15367,"Andrew","Cashbery Coin"
15368,"Dmitry Yakov","Nasdacoin"
15369,"Rajab Ali","Nasdacoin"
15370,"James Baptist","Nasdacoin"
15371,"Alex","Bitcoin W Spectrum"
15372,"Lorenzo","Bitcoin W Spectrum"
15373,"Kevin","Bitcoin W Spectrum"
15374,"Chris Le","Bitcoin W Spectrum"
15375,"Nathan","Bitcoin W Spectrum"
15376,"Bilal","Bitcoin W Spectrum"
15377,"Alexis Carreiro","Lynx"
15378,"Benjamin Wilson","Lynx"
15379,"pauliep1234","HighCoin"
15380,"Stefan","HighCoin"
15381,"CryptoNation","HighCoin"
15382,"HealKiller","HighCoin"
15383,"Leya","Adrenaline"
15384,"Sebastian","Adrenaline"
15385,"Nightowl","Adrenaline"
15386,"Brandon","Adrenaline"
15387,"Mike74","Adrenaline"
15388,"Wishmaster_eric","Adrenaline"
15389,"Andrew","EUNO"
15390,"Rektme Rev","EUNO"
15391,"Roger Beaumont","EUNO"
15392,"Angel","EUNO"
15393,"Emanuel Goldstein","EUNO"
15394,"Patrick Bateman","EUNO"
15395,"Maxime Alexandre Dupuis","MassGrid"
15396,"Liu Rui Hao","MassGrid"
15397,"Perry Lei","MassGrid"
15398,"Huang Xiang","MassGrid"
15399,"Frank Lee","MassGrid"
15400,"Ma Guo Lin","MassGrid"
15401,"Carlos Sousa","Niobio Cash"
15402,"Thainan Aleixo","Niobio Cash"
15403,"Luis Pontes","Niobio Cash"
15404,"Murilo Costa","Niobio Cash"
15405,"Helder Garcia","Niobio Cash"
15406,"Marconi Soldate","Niobio Cash"
15407,"Jeffrey Esquivel","Nimiq"
15408,"Marvin Wissfeld","Nimiq"
15409,"Pascal Berrang","Nimiq"
15410,"Elion Chin","Nimiq"
15411,"Philipp von Styp-Rekowsky","Nimiq"
15412,"Robin Linus","Nimiq"
15413,"Michael Munson","SnowGem"
15414,"Luke Venediger","SnowGem"
15415,"Jason Harp","SnowGem"
15416,"Jakub Korbel","SnowGem"
15417,"Tinh Pham","SnowGem"
15418,"Abit Ghimire","ContractNet"
15419,"Ravi Teja","ContractNet"
15420,"Lee Lilun","ContractNet"
15421,"Darren Wong","ContractNet"
15422,"Amie Lin","ContractNet"
15423,"Hung Loong W.","ContractNet"
15424,"Todd","Bank Coin"
15425,"Jessica","Bank Coin"
15426,"Gregory","Bank Coin"
15427,"Stephen","Bank Coin"
15428,"Andrea","Bank Coin"
15429,"Adelmo","Bank Coin"
15430,"Loc Dinh","Nexty"
15431,"Ruihe Ruan","Nexty"
15432,"Haytham Khaled","Nexty"
15433,"Thanh Dao","Nexty"
15434,"Ken Zeng","Nexty"
15435,"Richard Nedbal","PROUD Money"
15436,"Peggy Pippal","PROUD Money"
15437,"Alex Adonopoulous","PROUD Money"
15438,"George Lawin","PROUD Money"
15439,"Steven R.","Nullex"
15440,"Jimmy","Nullex"
15441,"Shaun C.","Nullex"
15442,"Erik F.","Nullex"
15443,"Trystan","Nullex"
15444,"Jeff Zhou","TrustNote"
15445,"Felix Ippolitov","Bitcoin Interest"
15446,"Pekka Larjovuori","Bitcoin Interest"
15447,"Jeffson Wu","Bitcoin Interest"
15448,"Manuel Gonzalez Garcia","Bitcoin Interest"
15449,"Nicholas Dooley","Bitcoin Interest"
15450,"Aaron Mathis","Bitcoin Interest"
15451,"Lars Mapstead","Bitcoin Interest"
15452,"Michael More","Fantasy Cash"
15453,"Andrew Skiortwoski","Fantasy Cash"
15454,"Joeya Shahbazi","Fantasy Cash"
15455,"Ihor","Bitsum"
15456,"Jason Griffiths","Bitsum"
15457,"Tarun Kumar","Bitsum"
15458,"Dimitry Tarasov","Bitsum"
15459,"Malafaya","Bullion"
15460,"Alexandre “Alex4J”","Bullion"
15461,"VonSpass","Bullion"
15462,"Chris ""eLambert""","Bullion"
15463,"Chris Sulmone","Bitcoin Private"
15464,"Jon Layton","Bitcoin Private"
15465,"Dan Farina","Bitcoin Private"
15466,"Giuseppe Stuto","Bitcoin Private"
15467,"Jacob Brutman, Ph.D.","Bitcoin Private"
15468,"Rhett Creighton","Bitcoin Private"
15469,"Jan M. Pasboel","Global Cryptocurrency"
15470,"Baba","Ammo Reloaded"
15471,"Moz","Ammo Reloaded"
15472,"Dan","Ammo Reloaded"
15473,"Toxic","Ammo Reloaded"
15474,"Chinafreak","Ammo Reloaded"
15475,"Alex","Ammo Reloaded"
15476,"Christian Bianchini","LAPO Blockchain"
15477,"Silvio Rainoldi","LAPO Blockchain"
15478,"Tayo Akintoye","LAPO Blockchain"
15479,"Mariyam Seguias Alì","LAPO Blockchain"
15480,"Damian Wood","LAPO Blockchain"
15481,"Christian Albera","LAPO Blockchain"
15482,"Philipp Wollschlaeger","LAPO Blockchain"
15483,"Luiis Franceschi","LAPO Blockchain"
15484,"Benedict Wollschlaeger","LAPO Blockchain"
15485,"Marat Kutaranov","Uniform Fiscal Object"
15486,"Daimyo","Uniform Fiscal Object"
15487,"Rick Xonar","Uniform Fiscal Object"
15488,"Peter Bushnell","Uniform Fiscal Object"
15489,"Ji Hoon Yun","W3Coin"
15490,"Jun Suk Park","W3Coin"
15491,"Rodger Redson Rodrigues","W3Coin"
15492,"John Hill","W3Coin"
15493,"Marcello Monaco","W3Coin"
15494,"Juri Vasselli","W3Coin"
15495,"Dou Wang","Lightning Bitcoin [Futures]"
15496,"Qianjie Zhao","Lightning Bitcoin [Futures]"
15497,"Loning","Lightning Bitcoin [Futures]"
15498,"Wenxiang Mei","Lightning Bitcoin [Futures]"
15499,"Jun Du","Lightning Bitcoin [Futures]"
15500,"Jack Zhang","Lightning Bitcoin [Futures]"
15501,"Marco Ferreira","United Bitcoin"
15502,"Wouter van der Schagt","United Bitcoin"
15503,"Alex Yang","United Bitcoin"
15504,"Matthew Roszak","United Bitcoin"
15505,"SongXiu Hua","United Bitcoin"
15506,"Jeff Garzik","United Bitcoin"
15507,"JiaPeng Lin","Super Bitcoin [Futures]"
15508,"Li Xiao Lai","Super Bitcoin [Futures]"
15509,"Ranger Shi","Super Bitcoin [Futures]"
15510,"Vlad Turtoi","TokenPay"
15511,"Laurance Gerges","TokenPay"
15512,"Aaron Tian","TokenPay"
15513,"Senen Garcia","TokenPay"
15514,"John Singh","TokenPay"
15515,"Joseph Pacetti","TokenPay"
15516,"Carlos Salazar","TokenPay"
15517,"Derek Capo","TokenPay"
15518,"David Lee","Hdac"
15519,"Yong-hoon Kim","Hdac"
15520,"Ho-Young Yang","Hdac"
15521,"Seung-Jun Ro","Hdac"
15522,"Nak-Jin Kim","Hdac"
15523,"Jae-Hoon Kim","Hdac"
15524,"Il-hun Chung","Hdac"
15525,"Joong-Bum Choi","Hdac"
15526,"Jae-Min Lee","Hdac"
15527,"Devon Choi","Hdac"
15528,"William Chun","Hdac"
15529,"Dae-Sun Chung","Hdac"
15530,"Isaac Rodgin","Zen Protocol"
15531,"Eleanor Milstein","Zen Protocol"
15532,"Doron Somech","Zen Protocol"
15533,"Elan Perach","Zen Protocol"
15534,"Asher Manning","Zen Protocol"
15535,"Sharon Urban","Zen Protocol"
15536,"Nathan Cook","Zen Protocol"
15537,"Adam Perlow","Zen Protocol"
15538,"Konstantin Chanchikov","TravelChain"
15539,"Sabina Gurbanova","TravelChain"
15540,"Zurab Shivarbidze","TravelChain"
15541,"Artem Bogomolov","TravelChain"
15542,"Pavel Dorozkhin","TravelChain"
15543,"Yury Anikin","TravelChain"
15544,"Anton Kolonin","TravelChain"
15545,"Orkhan Zeynally","TravelChain"
15546,"Alexey Solovyev","TravelChain"
15547,"Alexey Muravjev","TravelChain"
15548,"Ilya Orlov","TravelChain"
