"id","wallet","token_name"
1,"Coinomi","EDRCoin"
2,"Coinomi","Bitcoin Private"
3,"Coinomi","Bitcoin Atom [Futures]"
4,"Exodus","PokeCoin"
5,"CitoWise","PokeCoin"
6,"Exodus","BlazerCoin"
7,"CitoWise","BlazerCoin"
8,"Coinomi","AdCoin"
9,"Jaxx Liberty","ImpulseCoin"
10,"Coinomi","BnrtxCoin"
11,"Coinomi","ClubCoin"
12,"Exodus","Spots"
13,"Coinomi","HempCoin"
14,"Jaxx Liberty","SpaceCoin"
15,"Jaxx Liberty","Grantcoin"
16,"Exodus","AmberCoin"
17,"Coinomi","Digitalcoin"
18,"Jaxx Liberty","AsiaCoin"
19,"Coinomi","AsiaCoin"
20,"Coinomi","Abncoin"
21,"Coinomi","Canada eCoin"
22,"Jaxx Liberty","Bitcoin Scrypt"
23,"Coinomi","Falcoin"
24,"Jaxx Liberty","42-coin"
25,"Exodus","42-coin"
26,"CitoWise","Virtacoinplus"
27,"Coinomi","Ixcoin"
28,"Jaxx Liberty","Karbowanec"
29,"Bitcoin Wallet","KekCoin"
30,"Jaxx Liberty","FIMKrypto"
31,"Coinomi","FujiCoin"
32,"Exodus","InflationCoin"
33,"CitoWise","InflationCoin"
34,"Coinomi","Helleniccoin"
35,"Coinomi","EarthCoin"
36,"Coinomi","Kobocoin"
37,"Coinomi","BritCoin"
38,"Monarch","Riecoin"
39,"Jaxx Liberty","808Coin"
40,"Coinomi","Zennies"
41,"Exodus","LuckChain"
42,"Prodoge","Unify"
43,"Coinomi","ZClassic"
44,"Bitcoin Wallet","Espers"
45,"AnkerPay","Espers"
46,"Coinomi","EuropeCoin"
47,"Coinomi","Stealth"
48,"Jaxx Liberty","Sequence"
49,"Exodus","Sequence"
50,"CitoWise","Sequence"
51,"Coinomi","Auroracoin"
52,"Bitcoin Wallet","HTML5COIN"
53,"Coinomi","Bitcoin Plus"
54,"Coinomi","Bitcore"
55,"Exodus","Sphere"
56,"CitoWise","Sphere"
57,"Trust Wallet","DubaiCoin"
58,"Exodus","DubaiCoin"
59,"Bitcoin Wallet","DubaiCoin"
60,"Binance App","DubaiCoin"
61,"Edge Wallet","Feathercoin"
62,"Coinomi","Feathercoin"
63,"MyCrypto","Musicoin"
64,"Coinomi","Internet of People"
65,"Coinomi","Groestlcoin"
66,"Binance App","Voxels"
67,"Coinomi","Neblio"
68,"Coinomi","Compcoin"
69,"Binance App","SaluS"
70,"Coinomi","GridCoin"
71,"Jaxx Liberty","SpreadCoin"
72,"Coinomi","BlackCoin"
73,"Coinomi","Namecoin"
74,"Coinomi","Einsteinium"
75,"Binance App","Einsteinium"
76,"Exodus","LEOcoin"
77,"CitoWise","LEOcoin"
78,"Coinomi","Clams"
79,"Coinomi","Gulden"
80,"MyCrypto","Ubiq"
81,"Coinomi","FirstCoin"
82,"Prodoge","Bmycoin"
83,"Exodus","Time New Bank"
84,"Bitcoin Wallet","Project-X"
85,"Jaxx Liberty","Musiconomi"
86,"Bitcoin Wallet","eBoost"
87,"Exodus","LoMoCoin"
88,"CitoWise","LoMoCoin"
89,"Exodus","Omni"
90,"CitoWise","Omni"
91,"Bitcoin Wallet","Omni"
92,"Binance App","ATC Coin"
93,"Exodus","adToken"
94,"Coinomi","Credo"
95,"Exodus","TaaS"
96,"Monarch","GoChain"
97,"Coinomi","BitSend"
98,"Coinomi","GoByte"
99,"Coinomi","ExclusiveCoin"
100,"Coinomi","Diamond"
101,"Coinomi","InsaneCoin"
102,"Bitcoin Wallet","InsaneCoin"
103,"Monarch","DigitalPrice"
104,"Coinomi","CREA"
